ethnicity line,season,offer,suggested price tier,role,notes
African American,Spring,Single Book,$,Entry,First purchase / low friction
African American,Spring,Season Bundle,$$,Upsell,Better value than single book
African American,Spring,Line Bundle,$$$,Main bundle,Collector offer for one audience line
African American,Spring,Master Bundle,$$$$,Premium bundle,All books across all lines
African American,Summer,Single Book,$,Entry,First purchase / low friction
African American,Summer,Season Bundle,$$,Upsell,Better value than single book
African American,Summer,Line Bundle,$$$,Main bundle,Collector offer for one audience line
African American,Summer,Master Bundle,$$$$,Premium bundle,All books across all lines
African American,Fall,Single Book,$,Entry,First purchase / low friction
African American,Fall,Season Bundle,$$,Upsell,Better value than single book
African American,Fall,Line Bundle,$$$,Main bundle,Collector offer for one audience line
African American,Fall,Master Bundle,$$$$,Premium bundle,All books across all lines
African American,Winter,Single Book,$,Entry,First purchase / low friction
African American,Winter,Season Bundle,$$,Upsell,Better value than single book
African American,Winter,Line Bundle,$$$,Main bundle,Collector offer for one audience line
African American,Winter,Master Bundle,$$$$,Premium bundle,All books across all lines
Hispanic,Spring,Single Book,$,Entry,First purchase / low friction
Hispanic,Spring,Season Bundle,$$,Upsell,Better value than single book
Hispanic,Spring,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Hispanic,Spring,Master Bundle,$$$$,Premium bundle,All books across all lines
Hispanic,Summer,Single Book,$,Entry,First purchase / low friction
Hispanic,Summer,Season Bundle,$$,Upsell,Better value than single book
Hispanic,Summer,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Hispanic,Summer,Master Bundle,$$$$,Premium bundle,All books across all lines
Hispanic,Fall,Single Book,$,Entry,First purchase / low friction
Hispanic,Fall,Season Bundle,$$,Upsell,Better value than single book
Hispanic,Fall,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Hispanic,Fall,Master Bundle,$$$$,Premium bundle,All books across all lines
Hispanic,Winter,Single Book,$,Entry,First purchase / low friction
Hispanic,Winter,Season Bundle,$$,Upsell,Better value than single book
Hispanic,Winter,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Hispanic,Winter,Master Bundle,$$$$,Premium bundle,All books across all lines
Multiracial,Spring,Single Book,$,Entry,First purchase / low friction
Multiracial,Spring,Season Bundle,$$,Upsell,Better value than single book
Multiracial,Spring,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Multiracial,Spring,Master Bundle,$$$$,Premium bundle,All books across all lines
Multiracial,Summer,Single Book,$,Entry,First purchase / low friction
Multiracial,Summer,Season Bundle,$$,Upsell,Better value than single book
Multiracial,Summer,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Multiracial,Summer,Master Bundle,$$$$,Premium bundle,All books across all lines
Multiracial,Fall,Single Book,$,Entry,First purchase / low friction
Multiracial,Fall,Season Bundle,$$,Upsell,Better value than single book
Multiracial,Fall,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Multiracial,Fall,Master Bundle,$$$$,Premium bundle,All books across all lines
Multiracial,Winter,Single Book,$,Entry,First purchase / low friction
Multiracial,Winter,Season Bundle,$$,Upsell,Better value than single book
Multiracial,Winter,Line Bundle,$$$,Main bundle,Collector offer for one audience line
Multiracial,Winter,Master Bundle,$$$$,Premium bundle,All books across all lines
