Text / Quote,Category,Style,Suggested Images / Visual Elements,Design Prompt
"Still Here, Still Clean",Recovery,Bold,,
Plot twist: I made it,Recovery,Bold,,
Recovering Out Loud,Recovery,Bold,,
I survived my own worst idea,Recovery,Bold,,
Cleantime is a whole vibe,Recovery,Bold,,
"Don't speak, just listen",Recovery,Bold,,
"No matter who lies, dies, or flies",Recovery,Bold,,
On the upside - I haven't used,Recovery,Sassy,,
Clean & Serene since 1953 (or clean date),Recovery,Bold,,
"Sit down, Shut TF up, & Listen. You might learn something",Recovery,Confrontational,,
Meeting Maker,Recovery,Bold,,
K.I.S.S. - Keep It Simple Stupid,Recovery,Bold,,
"Feel, Deal, & Heal",Healing,Supportive,,
Sponsorship: A two-way street,Recovery,Bold,,
Work the Steps or D.I.E.,Recovery,Bold,,
The Solution is in the Steps,Recovery,Bold,,
Service is a Must,Recovery,Bold,,
#No Matter What,Recovery,Bold,,
"Broader the base, the Higher the Point of Freedom",Recovery,Bold,,
Newcomer: The Most Important Person in a Meeting,Recovery,Bold,,
"Get some Recovery, then build on it.",Recovery,Bold,,
I Surrendered (clean date),Recovery,Bold,,
Best Day God ever made (clean date),Recovery,Bold,,
No Matter What Club,Recovery,Bold,,
"H.O.W. Honesty, Openminded, Willingness",Recovery,Informative,,
There are many paths to the road of Recovery,Recovery,Bold,,
On fire for my Recovery,Recovery,Bold,,
You repeat what you don't repair.,Healing,Supportive,,
"Self care is the art of nurturing your mind, body & soul to achieve inner harmony",Self-Care,Positive,,
My PAST does not dictate my Future,Motivational,Motivational,,
My happy place is LOVE,Love,Supportive,,
"Love does not hurt, It HEALS",Love,Supportive,,
I Survived,DV,Empowering,,
Strength is a defect (Flaw),DV,Empowering,,
Heal where you Hurt,Healing,Supportive,,
Proud to be Recovering,Recovery,Bold,,
Proper planning prevents poor performance,Motivational,Motivational,,
Recovering since (date),Recovery,Bold,,
Understanding & Application,Recovery,Bold,,
Cotton (put it in your mouth not ears),Recovery,Humorous,,
Stay on guard for the unguarded moments,Recovery,Bold,,
Not a dumptruck,Recovery,Sassy,,
Recovery is an uphill journey,Recovery,Bold,,
Fathers Matter,Family,Supportive,,
Leave a legacy not a curse,Family,Supportive,,
Self esteem,Self-Esteem,Confident,,
My Fuck You game is strong,Sassy,Sassy,,
Power of the WE,Recovery,Bold,,
I'm Judgey,Sassy,Sassy,,
They will... LET THEM,Boundaries,Confrontational,,
This Ain't What You Want,Confident,Confident,,
F.O.C.U.S. (Fuck off cuz you're stupid),Sassy,Sassy,,
"Your face, your problem",Sassy,Sassy,,
F.I.L. Fix your life,Accountability,Truth,,
Act your way into a new way of thinking,Motivational,Motivational,,
I AM... ,Self-Esteem,Confident,,
Put a Step on it,Recovery,Bold,,
"Never Alone, Never Again",Recovery,Bold,,
"Make the effort, it's worth it",Motivational,Motivational,,
My crazy looks different,Self-Awareness,Reflective,,
Broken Toy Store,Healing,Supportive,,
I said that? Wow I'm just as surprised as you,Sassy,Sassy,,
"I can control my mouth, I choose not to",Sassy,Sassy,,
Huh? What did you say? I wasn't listening,Sassy,Sassy,,
If they can't lift you then they can't drop you,Boundaries,Confrontational,,
Success is never giving up,Motivational,Motivational,,
"If they can't reach you, then they can't top you",Confident,Confident,,
"I got time for shit, just not your shit",Boundaries,Sassy,,
I'm my own cheerleader (or pep squad),Self-Esteem,Confident,,
My coffee keeps others safe,Sassy,Sassy,,
I'm only as strong as my belief,Motivational,Motivational,,
L.M.K.H.T.W.O.F.Y. (Let me know how that works out for you),Sassy,Sassy,,
B.L.A.M.E.,Accountability,Truth,,
"Built Different, but I think some screws are loose",Humor,Humorous,,
"If God is testing me, then let Him grade me.",Faith,Reflective,,
Trying is not the same as Doing,Accountability,Accountability,,
Ain't my circus but I know the monkeys,Sassy,Sassy,,
"Might not be my circus, but I'm a certified ringmaster",Confident,Confident,,
Error 404: Sleep not found,Humor,Humorous,,
This is a Way Out / There's a way out,Recovery,Bold,,
I meet people where they are... I also leave them where they're at.,Boundaries,Confrontational,,
"Wheel of Feelings: Chest punchy, face slappy, pushy-shovey, throat choppy.",Humor,Humorous,,
Pouring into ME!,Self-Care,Positive,,
I said what? I'm as surprised as you are!,Sassy,Sassy,,
I'm not difficult. I'm no longer convenient.,Boundaries,Confrontational,,
Accountability feels like disrespect when you are used to control.,Accountability,Truth,,
"You weren't misunderstood, You were understood and disagreed with",Truth,Truth,,
Boundaries look like attitude to people who benefitted from your lack of them.,Other,Bold,,
Doctor or Dirt? 😑,Recovery,Bold,,
You have to have good character in order for it to be assassinated.,Truth,Sassy,,
I don't chase. I choose.,Self-Respect,Confident,,
My peace is not up for negotiation.,Boundaries,Bold,,
"Healing changed my tolerance, not my heart.",Healing,Reflective,,
I survived what was supposed to break me.,DV,Motivational,,
Leaving was not losing. Leaving was choosing me.,DV,Empowering,,
You don't get access just because you miss me.,Boundaries,Confrontational,,
Accountability is not an attack.,Accountability,Informative,,
Your opinion is not my identity.,Self-Esteem,Confident,,
