ethnicity_line,season,page_number,page_title,page_type,template_id,base_prompt,representation_direction,seasonal_direction,page_specific_prompt,negative_prompt,print_spec,status,notes
African American,Spring,01,Spring Renewal Journal,Solo portrait,TPL-01,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","African American adult woman with a natural hairstyle and everyday comfortable clothing; respectful, authentic features; no stereotypes.","Spring flowers, soft rain outside a window, fresh green plants, gentle morning atmosphere.","African American woman with natural curls journaling beside a rainy window, potted plants and spring flowers nearby, tea mug and blanket, calm reflective expression, clear focal figure, simple cozy interior, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, overcrowded scene, distorted face, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, police, panic, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep text-free interior; primary outlines 0.75–1.25 pt; secondary details 0.5–0.75 pt.",Not Started,
African American,Spring,02,Morning Path of Hope,Walking reflection,TPL-06,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","African American adult man with a natural everyday appearance and relaxed posture; respectful features; no stereotypes.","Spring sunrise, neighborhood park path, budding trees, light clouds, fresh grass.","African American man walking peacefully on a spring morning path in a neighborhood park, sunrise behind budding trees, relaxed shoulders, hands comfortable at sides, simple path and open sky, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, overcrowded scene, distorted anatomy, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, police, panic, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; open sky and path areas; primary outlines 0.75–1.25 pt.",Not Started,
African American,Spring,03,Quiet Growth by the Window,Window + journal reflection,TPL-08,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring, consistent medium-weight outlines.","African American young adult with natural textured hair, relaxed face, accessible everyday clothing; respectful and non-stereotyped.","Open spring window, simple curtains, plants, journal, fresh air.","African American young adult seated near an open spring window, holding a journal and pen, plants on the sill, blanket and book nearby, relaxed breathing posture, simple background, coloring book line art.","photorealistic, gray shading, color, blurry line work, low contrast, heavy black fill, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injury, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; preserve large open areas in window and blanket.",Not Started,
African American,Spring,04,Circle of Support,Community scene,TPL-02,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, clear focal interaction, open spaces for coloring.","Small group of African American adults with varied skin tones, hairstyles, ages, and everyday clothing; respectful peer-support representation.","Bright community room, spring light through windows, simple chairs and a small plant.","Four African American adults seated in a supportive circle in a bright community room, one person speaking while others listen with open body language, simple chairs, spring light through windows, no text on signs, coloring book line art.","photorealistic, gray shading, color, blurry lines, crowded group, confused anatomy, text artifacts, drugs, alcohol, weapons, police, visible crisis, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; 2–5 figures maximum; keep room detail minimal.",Not Started,
African American,Spring,05,Healing One Day at a Time,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use neutral botanical motifs; no people needed.","Spring blossoms, small butterflies, leaves, raindrops, gentle border accents.","Centered hand-lettered phrase: Healing one day at a time. Surround with an open spring floral border of blossoms, butterflies, leaves, and small raindrops; generous white space around words; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense mandala, crowded border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; phrase must be proofread manually after generation; reserve 50% or more white space.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
African American,Spring,06,Porch Talk and Tea,Porch or patio conversation,TPL-07,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","Two African American adults with varied ages and everyday clothing, relaxed and supportive interaction; respectful representation.","Spring porch, potted flowers, tea mugs, light sunlight, simple railing.","Two African American women seated on a porch having a gentle supportive conversation over tea, potted spring flowers nearby, relaxed facial expressions, simple porch railing and open background, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, alcohol, drugs, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; keep porch floor and walls simple.",Not Started,
African American,Spring,07,Restful Room,Healing room interior,TPL-04,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, restful environment, open spaces for coloring.","Culturally respectful home details with no stereotypes; no person required.","Spring plants, open curtain, light blanket, books, candle, soft daytime light.","Cozy bedroom sanctuary with a neatly made bed, open curtain showing simple spring branches, potted plant, books, candle, folded blanket, and journal on a side table, uncluttered coloring book line art.","photorealistic, gray shading, color, messy room, clutter, text artifacts, dark mood, weapons, drugs, alcohol, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; avoid dense textile patterns.",Not Started,
African American,Spring,08,Spring Hope Symbols,Symbol cluster,TPL-05,"Clean black-and-white adult coloring page, balanced symbol clusters, simple outlines, open spaces for coloring, no shading or grayscale.","Use universal recovery and hope symbols; no cultural stereotypes.","Butterflies, flower buds, doves, hearts, journal, tea mug, sunrise, leaves.","Balanced spring symbol cluster with a central butterfly, surrounding flowers, dove, heart, journal, tea mug, small sunrise, and leaves; each object separated by white space; coloring book line art.","photorealistic, gray shading, color, dense mandala, clutter, text artifacts, heavy black areas, violent imagery.","8.5 x 11 in portrait; 300 DPI; black line art on white; 8–12 motifs maximum with clean separation.",Not Started,
African American,Spring,09,Peace Grows Here,Quote page,TPL-03,"Clean black-and-white adult coloring quote page, wide margins, centered lettering space, moderate seasonal border detail, white background, no shading or grayscale.","Use universal botanical motifs; no people needed.","Spring leaves, small flowers, raindrops, calm garden border.","Centered hand-lettered phrase: Peace grows here. Surround with a light spring garden border of leaves, flowers, and gentle raindrops; generous open coloring space; coloring book line art.","photorealistic, gray shading, color, illegible text, misspelled words, text artifacts, dense border, heavy black fill.","8.5 x 11 in portrait; 300 DPI; black line art on white; add final quote manually if needed.",Not Started,"Generate border art separately if text accuracy is unreliable; add final quote in Canva or Illustrator."
African American,Spring,10,Rainy Window Reflection,Solo portrait,TPL-01,"Clean black-and-white adult coloring page, moderate detail, crisp printable line art, white background, no shading or grayscale, open spaces for coloring.","African American adult with natural hairstyle and everyday comfortable clothing; respectful, authentic features; no stereotypes.","Rainy spring window, journal, tea, soft blanket, plant.","African American woman sitting in a comfortable chair by a rainy spring window, holding a tea mug with a journal on her lap, simple plant and folded blanket nearby, peaceful expression, coloring book line art.","photorealistic, gray shading, color, clutter, distorted hands, extra fingers, text artifacts, drugs, alcohol, weapons, injuries, violence.","8.5 x 11 in portrait; 300 DPI; black line art on white; leave clear areas in chair, window, and blanket.",Not Started,
