product_id,ethnicity_line,season,product_type,working_title,subtitle,cover_concept,cover_character_direction,seasonal_visuals,cover_color_direction,thumbnail_text,thumbnail_layout,preview_assets_needed,cover_status,thumbnail_status,copy_review_status,cultural_review_status,final_export_status,commercial_priority,notes
AA-SPR-FLAG,African American,Spring,Flagship,"Rooted in Hope: Spring Recovery Coloring Book","15 calming coloring pages for reflection, renewal, and recovery","Warm, hopeful spring doorway or window scene with a journal, flowering plants, and a subtle silhouette or portrait detail.","African American adult with natural hair, everyday relaxed clothing, peaceful posture; representation should feel authentic and non-stereotyped.","Blossoms, gentle rain, fresh leaves, butterflies, open journal.","Soft sage green, warm cream, muted coral, charcoal type.","Rooted in Hope","Large title top or center; subtitle beneath; small 15-page badge; uncluttered at thumbnail size.","Cover; 3 interior-page previews; product mockup; square social thumbnail.",Not Started,Not Started,Not Started,Not Started,Not Started,High,"Use calm and healing-centered language; avoid clinical claims."
AA-SPR-MIND,African American,Spring,Mindfulness,"Quiet Growth: Spring Mindfulness Coloring Pages","15 mindful pages for calm, grounding, and creative reflection","Sunlit reading nook or seated person by a window with journal and plants.","African American young adult or adult with natural textured hair, relaxed expression, gentle everyday styling.","Open curtains, leaves, tea, journal, soft rain or sunlight.","Sage green, warm beige, soft lavender accent, charcoal type.","Quiet Growth","Large title with open space; minimalist botanical frame; readable at 200 px.","Cover; 3 interior-page previews; quote-page preview; square social thumbnail.",Not Started,Not Started,Not Started,Not Started,Not Started,High,"Mindfulness version should feel quieter than Flagship."
AA-SPR-REN,African American,Spring,Renewal,"Begin Again: Spring Renewal Coloring Pages","15 hopeful pages for growth, release, and new beginnings","Open path through spring garden with journal, butterfly, and understated human presence.","African American adult shown in peaceful forward motion; natural hair and everyday clothing.","Budding flowers, open path, butterflies, morning sky.","Fresh green, cream, soft sky blue, charcoal type.","Begin Again","Title centered over open-sky or open-path area; visual motion toward light.","Cover; 3 interior-page previews; quote-page preview; square social thumbnail.",Not Started,Not Started,Not Started,Not Started,Not Started,Medium,"Keep renewal theme distinct from mindfulness theme."
AA-SPR-SC,African American,Spring,Self-Care,"Gentle With Myself: Spring Self-Care Coloring Pages","15 pages for rest, boundaries, comfort, and everyday care","Cozy bedroom or porch sanctuary with tea, blanket, journal, plants, and a calm human figure.","African American adult in comfortable everyday clothing; restful body language.","Tea mug, blanket, plant, flowers, candle, gentle window light.","Warm cream, blush, sage, charcoal type.","Gentle With Myself","Title top; supportive subtitle; cozy props as bottom frame.","Cover; 3 interior-page previews; self-care scene preview; square social thumbnail.",Not Started,Not Started,Not Started,Not Started,Not Started,Medium,"Focus on comfort and care without appearing childish."
HSP-SPR-FLAG,Hispanic,Spring,Flagship,"Colores de Sanación: Libro de Colorear de Recuperación Primavera","15 páginas calmantes para reflexión, renovación y recuperación","Warm spring courtyard or window scene with journal, flowering plants, and subtle portrait detail.","Hispanic adult with varied skin tone and hair texture, everyday relaxed clothing, peaceful posture; authentic and non-stereotyped.","Blossoms, gentle rain, fresh leaves, butterflies, open journal.","Terracotta accent, soft sage, warm cream, charcoal type.","Colores de Sanación","Large title with readable Spanish accents; subtitle beneath; uncluttered at thumbnail size.","Cover; 3 interior-page previews; product mockup; square social thumbnail.",Not Started,Not Started,Not Started,Needs Native Review,Not Started,High,"Have final Spanish title and subtitle reviewed by a native speaker before export."
HSP-SPR-MIND,Hispanic,Spring,Mindfulness,"Un Día a la Vez: Páginas de Colorear para la Atención Plena","15 páginas para calma, presencia y reflexión creativa","Bright peaceful patio or window with journal, tea, plants, and calm reflection.","Hispanic young adult or adult with varied skin tone and hair texture, relaxed expression, everyday styling.","Open curtains, leaves, tea, journal, soft rain or sunlight.","Sage, warm cream, muted coral, charcoal type.","Un Día a la Vez","Title centered; clear accent marks; open border; readable at small size.","Cover; 3 interior-page previews; quote-page preview; square social thumbnail.",Not Started,Not Started,Not Started,Needs Native Review,Not Started,High,"Use Spanish-forward copy; optionally include small English subtitle on alternate cover version."
HSP-SPR-REN,Hispanic,Spring,Renewal,"Crecer con Esperanza: Páginas de Colorear de Primavera","15 páginas de crecimiento, liberación y nuevos comienzos","Open spring garden path with flowers, butterfly, journal, and understated person moving forward.","Hispanic adult shown in peaceful forward motion; varied skin tone and hair texture; everyday clothing.","Budding flowers, open path, butterflies, morning sky.","Fresh green, cream, terracotta accent, charcoal type.","Crecer con Esperanza","Title centered in open-sky area; clear accents; visual motion toward light.","Cover; 3 interior-page previews; quote-page preview; square social thumbnail.",Not Started,Not Started,Not Started,Needs Native Review,Not Started,Medium,"Native review recommended for commercial Spanish copy."
HSP-SPR-SC,Hispanic,Spring,Self-Care,"Mi Paz Importa: Páginas de Colorear de Autocuidado","15 páginas de descanso, límites, consuelo y cuidado diario","Cozy bedroom, patio, or reading sanctuary with tea, blanket, plants, and calm figure.","Hispanic adult in comfortable everyday clothing; restful body language; authentic non-stereotyped details.","Tea mug, blanket, plant, flowers, candle, gentle window light.","Warm cream, blush, sage, terracotta accent.","Mi Paz Importa","Title top; simple subtitle; cozy props frame lower half.","Cover; 3 interior-page previews; self-care scene preview; square social thumbnail.",Not Started,Not Started,Not Started,Needs Native Review,Not Started,Medium,"Keep final Spanish text editable until reviewed."
MUL-SPR-FLAG,Multiracial,Spring,Flagship,"Many Shades of Healing: Spring Recovery Coloring Book","15 inclusive coloring pages for reflection, renewal, and recovery","Hopeful spring scene featuring diverse or multiracial figure, journal, flowering plants, and open light.","Multiracial adult with mixed-feature facial structure, varied skin tone and hair texture, everyday relaxed clothing; respectful non-tokenized representation.","Blossoms, gentle rain, fresh leaves, butterflies, open journal.","Sage green, warm cream, muted gold, charcoal type.","Many Shades of Healing","Large title top or center; subtitle beneath; small 15-page badge; uncluttered at thumbnail size.","Cover; 3 interior-page previews; product mockup; square social thumbnail.",Not Started,Not Started,Not Started,Not Started,Not Started,High,"Ensure inclusive representation does not feel generic or tokenized."
MUL-SPR-MIND,Multiracial,Spring,Mindfulness,"Healing Has Many Faces: Spring Mindfulness Coloring Pages","15 inclusive pages for calm, grounding, and creative reflection","Sunlit reading nook or quiet window scene with a visibly multiracial person, journal, and plants.","Multiracial young adult or adult with natural diverse hair texture and mixed-feature representation; relaxed expression.","Open curtains, leaves, tea, journal, soft rain or sunlight.","Sage, warm beige, soft blue accent, charcoal type.","Healing Has Many Faces","Title centered with breathing room; light botanical frame; readable at 200 px.","Cover; 3 interior-page previews; quote-page preview; square social thumbnail.",Not Started,Not Started,Not Started,Not Started,Not Started,High,"Use strong contrast and simple cover composition."
