template id,template name,page type served,layout formula,composition zones,white space rule,detail load,notes
TPL-01,Solo Portrait Calm Scene,Solo portrait,"One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners.",Top: seasonal cues; Center: face/body focal point; Mid-lower: hands/object; Edges: light framing motifs.,Leave 35-45 percent open colorable space.,Medium,Keep the focal person dominant and the background supportive.
TPL-02,Support Circle Scene,Community scene,"3-5 people in a curved or circular arrangement, one clear focal interaction, simple background geometry. Indoor variant uses simple room geometry; outdoor variant uses trees, park edge, or garden as a low-detail backdrop.","Top: wall, window, banners, or tree line kept minimal; Center: group interaction; Bottom: chairs, floor, ground, grounding objects.",Keep background under 30 percent detail so figures stay readable.,Heavy,"No crowd scenes; emotional clarity matters more than realism. Covers indoor meeting rooms and outdoor gatherings, picnics, cookouts, and shared garden work."
TPL-03,Quote Page Framed Border,Quote page,Short centered quote with wide margins and seasonal border motifs on 2-4 sides.,Top-third: quote; Outer frame: florals and symbols; Corners: accent clusters; Center whitespace preserved.,Preserve at least 50 percent open space around text.,Light,Keep the phrase short enough to color around comfortably.
TPL-04,Healing Room Interior,Environment page,"One interior room with strong furniture silhouette, layered comfort objects, single anchor light source or window. No people.","Top: wall art or window; Center: bed, chair, or table anchor; Lower: rug, books, slippers, plants.",Avoid filling every surface with pattern; leave floors and walls partially open.,Heavy,Good for quiet pacing between social pages.
TPL-05,Symbol Cluster Page,Symbol page,8-15 related motifs grouped in balanced clusters with breathing room between forms.,Distributed clusters across the full page with one central anchor motif.,Keep clean separations between motifs for easy coloring.,Medium,Use as a pacing reset page. Motifs shift by season while retaining brand symbols.
TPL-06,Walking Reflection Scene,Solo portrait,"Single figure outdoors on a path, sidewalk, trail, dock, or shoreline with calm background depth and limited environmental clutter.","Top: sky, trees, or buildings minimal; Center: figure; Lower: path, leaves, water, flowers, pavement texture.",Keep large sky and path zones open to avoid density.,Light-Medium,Covers walking scenes and static outdoor grounding moments. Great recurring template across all three lines.
TPL-07,Pair Conversation Scene,Community scene,"Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task.","Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.","Keep railing, walls, table, and ground simple enough for color fill.",Medium,"Renamed in the rebuild from 'Porch or Patio Conversation'. The defining feature is party size, not furniture: use it for every 2-3 person scene, whether seated, walking, or working side by side."
TPL-08,Window + Journal Reflection,Solo portrait,"Person seated indoors at a window with a journal, mug, or book; the outside view simplified to weather and one or two shapes; indoor comfort props nearby.","Top: window frame and weather; Center: seated figure; Lower: blanket, book, mug, plant.",The window view should stay simple and not compete with the figure.,Medium,Reserved for scenes with an actual window or outside view. Indoor comfort scenes with no window go to TPL-01.
TPL-09,Outdoor Sanctuary,Environment page,"One outdoor retreat space with a strong built anchor (patio, courtyard, balcony, garden bed) plus plants and seating. No people.","Top: sky, string lights, pergola, or wall edge; Center: seating or planting anchor; Lower: paving, path, pots, ground plants.","Keep sky, paving, and lawn zones broadly open; do not pattern every surface.",Heavy,"Added in the rebuild. The outdoor counterpart to TPL-04, which is explicitly an interior template. Covers patios, courtyards, balconies, backyards, and community gardens."
TPL-10,Decorative Border & Pattern Page,Decorative page,Seasonal border or repeating pattern frame with 4-8 comfort objects set inside it; flatter and more graphic than a symbol cluster.,Full-page border or corner frames; Center: object grouping; Background: restrained repeating pattern or open white.,"Keep the center open enough to read as a resting page; pattern supports, never fills.",Medium,"Added in the rebuild. The Decorative page type appears 12 times in the tracker and had no template defined anywhere. Distinct from TPL-05: TPL-05 is scattered motif clusters, TPL-10 is border and pattern led."
