template id,template name,page type served,prompt formula,composition directive,white space directive,line weight rule,quote handling,negative prompts,slot sources
TPL-01,Solo Portrait Calm Scene,Solo portrait,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-01] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-01] + [QUOTE TEXT, quote pages only] + [NEGATIVE]","One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. Top: seasonal cues; Center: face/body focal point; Mid-lower: hands/object; Edges: light framing motifs.",Leave 35-45 percent open colorable space.,"primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-02,Support Circle Scene,Community scene,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-02] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-02] + [QUOTE TEXT, quote pages only] + [NEGATIVE]","3-5 people in a curved or circular arrangement, one clear focal interaction, simple background geometry. Indoor variant uses simple room geometry; outdoor variant uses trees, park edge, or garden as a low-detail backdrop. Top: wall, window, banners, or tree line kept minimal; Center: group interaction; Bottom: chairs, floor, ground, grounding objects.",Keep background under 30 percent detail so figures stay readable.,"primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-03,Quote Page Framed Border,Quote page,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-03] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-03] + [QUOTE TEXT, quote pages only] + [NEGATIVE]",Short centered quote with wide margins and seasonal border motifs on 2-4 sides. Top-third: quote; Outer frame: florals and symbols; Corners: accent clusters; Center whitespace preserved.,Preserve at least 50 percent open space around text.,"primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring","Set the quote from the tracker's quote text column in a clean serif, centered in the upper-middle, well inside the safe margin; verify spelling and accents before export.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-04,Healing Room Interior,Environment page,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-04] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-04] + [QUOTE TEXT, quote pages only] + [NEGATIVE]","One interior room with strong furniture silhouette, layered comfort objects, single anchor light source or window. No people. Top: wall art or window; Center: bed, chair, or table anchor; Lower: rug, books, slippers, plants.",Avoid filling every surface with pattern; leave floors and walls partially open.,"primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-05,Symbol Cluster Page,Symbol page,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-05] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-05] + [QUOTE TEXT, quote pages only] + [NEGATIVE]",8-15 related motifs grouped in balanced clusters with breathing room between forms. Distributed clusters across the full page with one central anchor motif.,Keep clean separations between motifs for easy coloring.,"primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-06,Walking Reflection Scene,Solo portrait,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-06] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-06] + [QUOTE TEXT, quote pages only] + [NEGATIVE]","Single figure outdoors on a path, sidewalk, trail, dock, or shoreline with calm background depth and limited environmental clutter. Top: sky, trees, or buildings minimal; Center: figure; Lower: path, leaves, water, flowers, pavement texture.",Keep large sky and path zones open to avoid density.,"primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-07,Pair Conversation Scene,Community scene,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-07] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-07] + [QUOTE TEXT, quote pages only] + [NEGATIVE]","Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.","Keep railing, walls, table, and ground simple enough for color fill.","primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-08,Window + Journal Reflection,Solo portrait,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-08] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-08] + [QUOTE TEXT, quote pages only] + [NEGATIVE]","Person seated indoors at a window with a journal, mug, or book; the outside view simplified to weather and one or two shapes; indoor comfort props nearby. Top: window frame and weather; Center: seated figure; Lower: blanket, book, mug, plant.",The window view should stay simple and not compete with the figure.,"primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-09,Outdoor Sanctuary,Environment page,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-09] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-09] + [QUOTE TEXT, quote pages only] + [NEGATIVE]","One outdoor retreat space with a strong built anchor (patio, courtyard, balcony, garden bed) plus plants and seating. No people. Top: sky, string lights, pergola, or wall edge; Center: seating or planting anchor; Lower: paving, path, pots, ground plants.","Keep sky, paving, and lawn zones broadly open; do not pattern every surface.","primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
TPL-10,Decorative Border & Pattern Page,Decorative page,"[DOC SPEC] + [SCENE] + [COMPOSITION: TPL-10] + [REPRESENTATION: {line}] + [SEASON: {season}] + [TONE] + [LINE WORK] + [WHITE SPACE: TPL-10] + [QUOTE TEXT, quote pages only] + [NEGATIVE]",Seasonal border or repeating pattern frame with 4-8 comfort objects set inside it; flatter and more graphic than a symbol cluster. Full-page border or corner frames; Center: object grouping; Background: restrained repeating pattern or open white.,"Keep the center open enough to read as a resting page; pattern supports, never fills.","primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring",No text on this page. Reject any generated lettering.,"violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration","SCENE = tracker 'prompt notes' | COMPOSITION and WHITE SPACE = page_template_library | REPRESENTATION = page_design_system representation rules | SEASON = page_design_system season system | QUOTE TEXT = tracker 'quote text' | DOC SPEC, TONE, LINE WORK, NEGATIVE = fixed across all 180 pages"
