title,ethnicity line,season,page type,prompt notes,quote text,commercial priority
African American Spring 01,African American,Spring,Solo portrait,Woman journaling by a rainy window with plants.,,High
African American Spring 02,African American,Spring,Solo portrait,Man walking at sunrise in a neighborhood park.,,Medium
African American Spring 03,African American,Spring,Solo portrait,Young adult with natural hair doing breathing exercises.,,High
African American Spring 04,African American,Spring,Solo portrait,Woman wrapped in blanket holding tea and affirmations.,,High
African American Spring 05,African American,Spring,Community scene,Small recovery circle in a community room.,,High
African American Spring 06,African American,Spring,Community scene,Mother and adult daughter planting flowers together.,,Medium
African American Spring 07,African American,Spring,Community scene,Friends on a porch sharing encouragement.,,Medium
African American Spring 08,African American,Spring,Community scene,Mentor and newcomer talking after a meeting.,,High
African American Spring 09,African American,Spring,Quote page,Floral border with spring blossoms.,Healing one day at a time.,High
African American Spring 10,African American,Spring,Quote page,Butterflies and soft garden accents.,I am allowed to begin again.,High
African American Spring 11,African American,Spring,Quote page,"Rain, blossoms, and soft linework.",Peace grows here.,Medium
African American Spring 12,African American,Spring,Symbol page,"Braids, flowers, hearts, doves, and healing motifs.",,Medium
African American Spring 13,African American,Spring,Decorative page,"Spring wreath, coffee mug, journal, and soft border shapes.",,Medium
African American Spring 14,African American,Spring,Environment page,"Cozy bedroom sanctuary with books, candles, and plants.",,High
African American Spring 15,African American,Spring,Environment page,Church fellowship hall or wellness room set for support.,,Medium
African American Summer 01,African American,Summer,Solo portrait,Woman sitting under a tree with a recovery journal.,,High
African American Summer 02,African American,Summer,Solo portrait,Man at a lakefront dock reflecting peacefully.,,Medium
African American Summer 03,African American,Summer,Solo portrait,Young adult stretching in morning sunlight.,,High
African American Summer 04,African American,Summer,Solo portrait,Woman smiling on a porch swing with tea.,,Medium
African American Summer 05,African American,Summer,Community scene,Outdoor support group in a park.,,High
African American Summer 06,African American,Summer,Community scene,Family picnic centered on peace and connection.,,High
African American Summer 07,African American,Summer,Community scene,Two friends walking a neighborhood trail.,,Medium
African American Summer 08,African American,Summer,Community scene,Barber shop or beauty shop encouragement scene.,,Medium
African American Summer 09,African American,Summer,Quote page,Sunflowers and bright summer accents.,Joy is part of healing.,High
African American Summer 10,African American,Summer,Quote page,Bold sun-themed border.,I choose freedom today.,High
African American Summer 11,African American,Summer,Quote page,Warm rays and open space.,My future is brighter than my past.,High
African American Summer 12,African American,Summer,Symbol page,"Sunflowers, sandals, lemonade, hearts, and rays.",,Medium
African American Summer 13,African American,Summer,Decorative page,"Porch, fans, flowers, and radiant lines.",,Medium
African American Summer 14,African American,Summer,Environment page,Backyard safe-space patio with string lights.,,Medium
African American Summer 15,African American,Summer,Environment page,Summer community garden scene.,,High
African American Fall 01,African American,Fall,Solo portrait,Woman in sweater journaling with falling leaves outside.,,High
African American Fall 02,African American,Fall,Solo portrait,Man holding coffee on a quiet morning walk.,,Medium
African American Fall 03,African American,Fall,Solo portrait,Young adult resting on a couch with soft blanket.,,High
African American Fall 04,African American,Fall,Solo portrait,Woman lighting a candle beside a gratitude notebook.,,High
African American Fall 05,African American,Fall,Community scene,Small indoor support circle with warm décor.,,High
African American Fall 06,African American,Fall,Community scene,Parent and teen baking together in recovery home.,,Medium
African American Fall 07,African American,Fall,Community scene,Siblings reconnecting at a kitchen table.,,Medium
African American Fall 08,African American,Fall,Community scene,Sponsor-style conversation on a park bench.,,High
African American Fall 09,African American,Fall,Quote page,Autumn leaves and warm texture.,Let go and grow.,High
African American Fall 10,African American,Fall,Quote page,Coffee mug and soft knit accents.,Rest is recovery too.,High
African American Fall 11,African American,Fall,Quote page,Leaves and open space.,My story is still unfolding.,High
African American Fall 12,African American,Fall,Symbol page,"Leaves, pumpkins, journals, and faith symbols.",,Medium
African American Fall 13,African American,Fall,Decorative page,"Plaid patterns, leaves, candles, and harvest shapes.",,Medium
African American Fall 14,African American,Fall,Environment page,Reading nook sanctuary with blanket and books.,,High
African American Fall 15,African American,Fall,Environment page,"Calm kitchen table scene with pie, tea, and peace.",,Medium
African American Winter 01,African American,Winter,Solo portrait,Woman at a window with snowfall and prayer journal.,,High
African American Winter 02,African American,Winter,Solo portrait,Man in knit cap walking through peaceful winter air.,,Medium
African American Winter 03,African American,Winter,Solo portrait,Young adult coloring beside candles and blanket.,,High
African American Winter 04,African American,Winter,Solo portrait,Woman holding cocoa and reflecting by a lamp.,,High
African American Winter 05,African American,Winter,Community scene,Indoor support group with holiday-neutral warmth.,,High
African American Winter 06,African American,Winter,Community scene,Grandmother and adult grandchild sharing quiet encouragement.,,Medium
African American Winter 07,African American,Winter,Community scene,Couple healing together through conversation.,,Medium
African American Winter 08,African American,Winter,Community scene,Friend dropping off soup and support.,,High
African American Winter 09,African American,Winter,Quote page,Snowflake border and candle glow.,Hope lives here.,High
African American Winter 10,African American,Winter,Quote page,Winter window and soft blanket accents.,I can be gentle with myself.,High
African American Winter 11,African American,Winter,Quote page,Candle and light motif.,Light returns.,High
African American Winter 12,African American,Winter,Symbol page,"Mittens, candles, doves, hearts, and stars.",,Medium
African American Winter 13,African American,Winter,Decorative page,"Quilts, ornaments, stars, and calm lines.",,Medium
African American Winter 14,African American,Winter,Environment page,Bedroom retreat with soft lamp and heavy comforter.,,High
African American Winter 15,African American,Winter,Environment page,Peaceful living room with tea table and books.,,Medium
Hispanic Spring 01,Hispanic,Spring,Solo portrait,"Latina woman in her 30s with long wavy dark hair, seated at a sunlit table beside open curtains, writing in a recovery journal as potted spring flowers frame the scene; relaxed shoulders and a quietly hopeful expression convey new beginnings.",,High
Hispanic Spring 02,Hispanic,Spring,Solo portrait,"Latino man in his 30s with short textured dark hair, walking a tree-lined neighborhood path just after sunrise, hands relaxed and gaze forward; fresh leaves and damp pavement reinforce steady progress and a clear new direction.",,Medium
Hispanic Spring 03,Hispanic,Spring,Solo portrait,"Hispanic young adult with curly dark hair, seated cross-legged on a tiled patio practicing slow grounding breaths, one hand over the heart; potted herbs, small blossoms, and open sky create a calm scene of self-awareness.",,High
Hispanic Spring 04,Hispanic,Spring,Solo portrait,"Latina woman in her 40s with shoulder-length curls, wrapped in a light woven throw while holding a warm cup of tea near a bright window; spring greenery and gentle posture communicate permission to rest without guilt.",,High
Hispanic Spring 05,Hispanic,Spring,Community scene,"Four Hispanic adults in a welcoming community room seated in a loose circle, one woman speaking while others listen with open, supportive body language; spring flowers on a side table and uncluttered chairs create a safe sense of belonging.",,High
Hispanic Spring 06,Hispanic,Spring,Community scene,"Hispanic mother and adult daughter kneeling together in a small garden, planting flowering seedlings and sharing a warm smile; practical gardening tools, tiled edging, and fresh growth symbolize nurturing a relationship and growing together.",,Medium
Hispanic Spring 07,Hispanic,Spring,Community scene,"Hispanic family gathered around a breakfast table in a bright home, passing fruit and warm drinks while sharing easy conversation; patterned ceramic dishes, open curtains, and spring plants create a feeling of peaceful reconnection.",,Medium
Hispanic Spring 08,Hispanic,Spring,Community scene,"Two Hispanic women seated outside after a wellness meeting, leaning toward one another in honest conversation; one holds a notebook while spring blossoms and a simple community building behind them suggest trust, reflection, and mutual encouragement.",,High
Hispanic Spring 09,Hispanic,Spring,Quote page,"Elegant spring border built from open blossoms, curling vines, small hummingbirds, and a few unfurling leaves, leaving generous clean space in the center for the quote; airy composition symbolizes taking life one day at a time.",Un día a la vez.,High
Hispanic Spring 10,Hispanic,Spring,Quote page,"Spring renewal border with two butterflies emerging from flowering stems, delicate new leaves, and scattered buds around generous central space; the upward movement of the butterflies visually reinforces growth with hope.",Estoy creciendo con esperanza.,High
Hispanic Spring 11,Hispanic,Spring,Quote page,"Rain-kissed spring border featuring droplets on blossoms, curved stems, small leaves, and soft puddle ripples; keep the center open and peaceful so the quote feels like a quiet declaration of self-worth.",Mi paz importa.,Medium
Hispanic Spring 12,Hispanic,Spring,Symbol page,"Balanced spring symbol cluster of hummingbird, open flower, heart, sun, and unfurling leaf arranged as separate colorable motifs; each symbol represents life, connection, warmth, and renewal without visual clutter.",,Medium
Hispanic Spring 13,Hispanic,Spring,Decorative page,"Decorative spring journal composition with a closed notebook, ceramic cup, leafy stem, and subtle hand-painted-style tile border inspired by warm Hispanic home décor; keep motifs geometric and open for easy coloring.",,Medium
Hispanic Spring 14,Hispanic,Spring,Environment page,"Peaceful Hispanic bedroom sanctuary with a neatly made bed, textured woven throw, leafy houseplants, small ceramic lamp, and journal on a bedside table; soft window light and orderly space communicate safety and restoration.",,High
Hispanic Spring 15,Hispanic,Spring,Environment page,"Hispanic courtyard sanctuary with tiled floor, comfortable chair, potted citrus or flowering plant, simple woven textile, and an open gate toward the garden; inviting negative space makes the scene feel restorative and free.",,Medium
Hispanic Summer 01,Hispanic,Summer,Solo portrait,"Latina woman in her 30s with shoulder-length curls, seated beneath a leafy summer tree with a sketchbook resting on her lap, relaxed posture and a gentle smile; dappled sunlight, wildflowers, and open sky express creative freedom and renewed joy.",,High
Hispanic Summer 02,Hispanic,Summer,Solo portrait,"Latino man in his 30s with short curly dark hair, walking slowly along a waterfront boardwalk with sleeves rolled up and relaxed hands; bright water, palms or riverside trees, and a wide horizon create a visual sense of forward movement.",,Medium
Hispanic Summer 03,Hispanic,Summer,Solo portrait,"Hispanic young adult with thick curly hair stretching beside a backyard garden in early morning, arms reaching overhead and face lifted toward the sun; potted herbs, flowering plants, and a simple chair support a feeling of energy and self-care.",,High
Hispanic Summer 04,Hispanic,Summer,Solo portrait,"Latina woman in her 40s with long braid and simple summer clothing, seated on a shaded porch swing holding a cool drink, laughing softly with eyes closed; flowering pots and gentle breeze lines make joy feel safe and unforced.",,Medium
Hispanic Summer 05,Hispanic,Summer,Community scene,"Five Hispanic adults gathered outdoors beneath a broad shade tree, seated in a loose support circle with one person speaking and others listening attentively; notebooks and water bottles ground the scene in peer support, trust, and community.",,High
Hispanic Summer 06,Hispanic,Summer,Community scene,"Hispanic family sharing a relaxed backyard cookout, adults and older children preparing food and talking around a simple table; woven placemats, fresh fruit, flowering plants, and open body language emphasize reconnection rather than celebration for its own sake.",,High
Hispanic Summer 07,Hispanic,Summer,Community scene,"Two Hispanic friends seated at a shaded outdoor table, sharing tall glasses of aguas frescas and talking with genuine smiles; citrus slices, flowering plants, and relaxed posture create a scene of friendship, presence, and everyday joy.",,Medium
