ethnicity line,season,product type,priority,position in launch,format role,notes
African American,Spring,Flagship,High,Launch first,Hero product,African American spring flagship edition within the recovery and healing catalog.
African American,Spring,Renewal,Medium,Launch first,Core product,African American spring renewal edition within the recovery and healing catalog.
African American,Spring,Mindfulness,High,Launch first,Core product,African American spring mindfulness edition within the recovery and healing catalog.
African American,Spring,Self-Care,Medium,Launch first,Support product,African American spring self-care edition within the recovery and healing catalog.
African American,Summer,Flagship,High,Launch second,Hero product,African American summer flagship edition within the recovery and healing catalog.
African American,Summer,Renewal,Medium,Launch second,Core product,African American summer renewal edition within the recovery and healing catalog.
African American,Summer,Mindfulness,High,Launch second,Core product,African American summer mindfulness edition within the recovery and healing catalog.
African American,Summer,Self-Care,Medium,Launch second,Support product,African American summer self-care edition within the recovery and healing catalog.
African American,Fall,Flagship,High,Launch third,Hero product,African American fall flagship edition within the recovery and healing catalog.
African American,Fall,Renewal,Medium,Launch third,Core product,African American fall renewal edition within the recovery and healing catalog.
African American,Fall,Mindfulness,High,Launch third,Core product,African American fall mindfulness edition within the recovery and healing catalog.
African American,Fall,Self-Care,Medium,Launch third,Support product,African American fall self-care edition within the recovery and healing catalog.
African American,Winter,Flagship,High,Launch fourth,Hero product,African American winter flagship edition within the recovery and healing catalog.
African American,Winter,Renewal,Medium,Launch fourth,Core product,African American winter renewal edition within the recovery and healing catalog.
African American,Winter,Mindfulness,High,Launch fourth,Core product,African American winter mindfulness edition within the recovery and healing catalog.
African American,Winter,Self-Care,Medium,Launch fourth,Support product,African American winter self-care edition within the recovery and healing catalog.
Hispanic,Spring,Flagship,High,Launch first,Hero product,Hispanic spring flagship edition within the recovery and healing catalog.
Hispanic,Spring,Renewal,Medium,Launch first,Core product,Hispanic spring renewal edition within the recovery and healing catalog.
Hispanic,Spring,Mindfulness,High,Launch first,Core product,Hispanic spring mindfulness edition within the recovery and healing catalog.
Hispanic,Spring,Self-Care,Medium,Launch first,Support product,Hispanic spring self-care edition within the recovery and healing catalog.
Hispanic,Summer,Flagship,High,Launch second,Hero product,Hispanic summer flagship edition within the recovery and healing catalog.
Hispanic,Summer,Renewal,Medium,Launch second,Core product,Hispanic summer renewal edition within the recovery and healing catalog.
Hispanic,Summer,Mindfulness,High,Launch second,Core product,Hispanic summer mindfulness edition within the recovery and healing catalog.
Hispanic,Summer,Self-Care,Medium,Launch second,Support product,Hispanic summer self-care edition within the recovery and healing catalog.
Hispanic,Fall,Flagship,High,Launch third,Hero product,Hispanic fall flagship edition within the recovery and healing catalog.
Hispanic,Fall,Renewal,Medium,Launch third,Core product,Hispanic fall renewal edition within the recovery and healing catalog.
Hispanic,Fall,Mindfulness,High,Launch third,Core product,Hispanic fall mindfulness edition within the recovery and healing catalog.
Hispanic,Fall,Self-Care,Medium,Launch third,Support product,Hispanic fall self-care edition within the recovery and healing catalog.
Hispanic,Winter,Flagship,High,Launch fourth,Hero product,Hispanic winter flagship edition within the recovery and healing catalog.
Hispanic,Winter,Renewal,Medium,Launch fourth,Core product,Hispanic winter renewal edition within the recovery and healing catalog.
Hispanic,Winter,Mindfulness,High,Launch fourth,Core product,Hispanic winter mindfulness edition within the recovery and healing catalog.
Hispanic,Winter,Self-Care,Medium,Launch fourth,Support product,Hispanic winter self-care edition within the recovery and healing catalog.
Multiracial,Spring,Flagship,High,Launch first,Hero product,Multiracial spring flagship edition within the recovery and healing catalog.
Multiracial,Spring,Renewal,Medium,Launch first,Core product,Multiracial spring renewal edition within the recovery and healing catalog.
Multiracial,Spring,Mindfulness,High,Launch first,Core product,Multiracial spring mindfulness edition within the recovery and healing catalog.
Multiracial,Spring,Self-Care,Medium,Launch first,Support product,Multiracial spring self-care edition within the recovery and healing catalog.
Multiracial,Summer,Flagship,High,Launch second,Hero product,Multiracial summer flagship edition within the recovery and healing catalog.
Multiracial,Summer,Renewal,Medium,Launch second,Core product,Multiracial summer renewal edition within the recovery and healing catalog.
Multiracial,Summer,Mindfulness,High,Launch second,Core product,Multiracial summer mindfulness edition within the recovery and healing catalog.
Multiracial,Summer,Self-Care,Medium,Launch second,Support product,Multiracial summer self-care edition within the recovery and healing catalog.
Multiracial,Fall,Flagship,High,Launch third,Hero product,Multiracial fall flagship edition within the recovery and healing catalog.
Multiracial,Fall,Renewal,Medium,Launch third,Core product,Multiracial fall renewal edition within the recovery and healing catalog.
Multiracial,Fall,Mindfulness,High,Launch third,Core product,Multiracial fall mindfulness edition within the recovery and healing catalog.
Multiracial,Fall,Self-Care,Medium,Launch third,Support product,Multiracial fall self-care edition within the recovery and healing catalog.
Multiracial,Winter,Flagship,High,Launch fourth,Hero product,Multiracial winter flagship edition within the recovery and healing catalog.
Multiracial,Winter,Renewal,Medium,Launch fourth,Core product,Multiracial winter renewal edition within the recovery and healing catalog.
Multiracial,Winter,Mindfulness,High,Launch fourth,Core product,Multiracial winter mindfulness edition within the recovery and healing catalog.
Multiracial,Winter,Self-Care,Medium,Launch fourth,Support product,Multiracial winter self-care edition within the recovery and healing catalog.
