title,ethnicity line,season,page type,prompt notes,quote text,commercial priority
African American Spring 01,African American,Spring,Solo portrait,Woman journaling by a rainy window with plants.,,High
African American Spring 02,African American,Spring,Solo portrait,Man walking at sunrise in a neighborhood park.,,Medium
African American Spring 03,African American,Spring,Solo portrait,Young adult with natural hair doing breathing exercises.,,High
African American Spring 04,African American,Spring,Solo portrait,Woman wrapped in blanket holding tea and affirmations.,,High
African American Spring 05,African American,Spring,Community scene,Small recovery circle in a community room.,,High
African American Spring 06,African American,Spring,Community scene,Mother and adult daughter planting flowers together.,,Medium
African American Spring 07,African American,Spring,Community scene,Friends on a porch sharing encouragement.,,Medium
African American Spring 08,African American,Spring,Community scene,Mentor and newcomer talking after a meeting.,,High
African American Spring 09,African American,Spring,Quote page,Floral border with spring blossoms.,Healing one day at a time.,High
African American Spring 10,African American,Spring,Quote page,Butterflies and soft garden accents.,I am allowed to begin again.,High
African American Spring 11,African American,Spring,Quote page,"Rain, blossoms, and soft linework.",Peace grows here.,Medium
African American Spring 12,African American,Spring,Symbol page,"Braids, flowers, hearts, doves, and healing motifs.",,Medium
African American Spring 13,African American,Spring,Decorative page,"Spring wreath, coffee mug, journal, and soft border shapes.",,Medium
African American Spring 14,African American,Spring,Environment page,"Cozy bedroom sanctuary with books, candles, and plants.",,High
African American Spring 15,African American,Spring,Environment page,Church fellowship hall or wellness room set for support.,,Medium
African American Summer 01,African American,Summer,Solo portrait,Woman sitting under a tree with a recovery journal.,,High
African American Summer 02,African American,Summer,Solo portrait,Man at a lakefront dock reflecting peacefully.,,Medium
African American Summer 03,African American,Summer,Solo portrait,Young adult stretching in morning sunlight.,,High
African American Summer 04,African American,Summer,Solo portrait,Woman smiling on a porch swing with tea.,,Medium
African American Summer 05,African American,Summer,Community scene,Outdoor support group in a park.,,High
African American Summer 06,African American,Summer,Community scene,Family picnic centered on peace and connection.,,High
African American Summer 07,African American,Summer,Community scene,Two friends walking a neighborhood trail.,,Medium
African American Summer 08,African American,Summer,Community scene,Barber shop or beauty shop encouragement scene.,,Medium
African American Summer 09,African American,Summer,Quote page,Sunflowers and bright summer accents.,Joy is part of healing.,High
African American Summer 10,African American,Summer,Quote page,Bold sun-themed border.,I choose freedom today.,High
African American Summer 11,African American,Summer,Quote page,Warm rays and open space.,My future is brighter than my past.,High
African American Summer 12,African American,Summer,Symbol page,"Sunflowers, sandals, lemonade, hearts, and rays.",,Medium
African American Summer 13,African American,Summer,Decorative page,"Porch, fans, flowers, and radiant lines.",,Medium
African American Summer 14,African American,Summer,Environment page,Backyard safe-space patio with string lights.,,Medium
African American Summer 15,African American,Summer,Environment page,Summer community garden scene.,,High
African American Fall 01,African American,Fall,Solo portrait,Woman in sweater journaling with falling leaves outside.,,High
African American Fall 02,African American,Fall,Solo portrait,Man holding coffee on a quiet morning walk.,,Medium
African American Fall 03,African American,Fall,Solo portrait,Young adult resting on a couch with soft blanket.,,High
African American Fall 04,African American,Fall,Solo portrait,Woman lighting a candle beside a gratitude notebook.,,High
African American Fall 05,African American,Fall,Community scene,Small indoor support circle with warm décor.,,High
African American Fall 06,African American,Fall,Community scene,Parent and teen baking together in recovery home.,,Medium
African American Fall 07,African American,Fall,Community scene,Siblings reconnecting at a kitchen table.,,Medium
African American Fall 08,African American,Fall,Community scene,Sponsor-style conversation on a park bench.,,High
African American Fall 09,African American,Fall,Quote page,Autumn leaves and warm texture.,Let go and grow.,High
African American Fall 10,African American,Fall,Quote page,Coffee mug and soft knit accents.,Rest is recovery too.,High
African American Fall 11,African American,Fall,Quote page,Leaves and open space.,My story is still unfolding.,High
African American Fall 12,African American,Fall,Symbol page,"Leaves, pumpkins, journals, and faith symbols.",,Medium
African American Fall 13,African American,Fall,Decorative page,"Plaid patterns, leaves, candles, and harvest shapes.",,Medium
African American Fall 14,African American,Fall,Environment page,Reading nook sanctuary with blanket and books.,,High
African American Fall 15,African American,Fall,Environment page,"Calm kitchen table scene with pie, tea, and peace.",,Medium
African American Winter 01,African American,Winter,Solo portrait,Woman at a window with snowfall and prayer journal.,,High
African American Winter 02,African American,Winter,Solo portrait,Man in knit cap walking through peaceful winter air.,,Medium
African American Winter 03,African American,Winter,Solo portrait,Young adult coloring beside candles and blanket.,,High
African American Winter 04,African American,Winter,Solo portrait,Woman holding cocoa and reflecting by a lamp.,,High
African American Winter 05,African American,Winter,Community scene,Indoor support group with holiday-neutral warmth.,,High
African American Winter 06,African American,Winter,Community scene,Grandmother and adult grandchild sharing quiet encouragement.,,Medium
African American Winter 07,African American,Winter,Community scene,Couple healing together through conversation.,,Medium
African American Winter 08,African American,Winter,Community scene,Friend dropping off soup and support.,,High
African American Winter 09,African American,Winter,Quote page,Snowflake border and candle glow.,Hope lives here.,High
African American Winter 10,African American,Winter,Quote page,Winter window and soft blanket accents.,I can be gentle with myself.,High
African American Winter 11,African American,Winter,Quote page,Candle and light motif.,Light returns.,High
African American Winter 12,African American,Winter,Symbol page,"Mittens, candles, doves, hearts, and stars.",,Medium
African American Winter 13,African American,Winter,Decorative page,"Quilts, ornaments, stars, and calm lines.",,Medium
African American Winter 14,African American,Winter,Environment page,Bedroom retreat with soft lamp and heavy comforter.,,High
African American Winter 15,African American,Winter,Environment page,Peaceful living room with tea table and books.,,Medium
Hispanic Spring 01,Hispanic,Spring,Solo portrait,Latina woman journaling near flowers and open curtains.,,High
Hispanic Spring 02,Hispanic,Spring,Solo portrait,Latino man walking after dawn with peaceful expression.,,Medium
Hispanic Spring 03,Hispanic,Spring,Solo portrait,Young adult doing grounding exercise on patio.,,High
Hispanic Spring 04,Hispanic,Spring,Solo portrait,Woman with tea and blanket embracing rest.,,High
Hispanic Spring 05,Hispanic,Spring,Community scene,Small support circle in a bright community room.,,High
Hispanic Spring 06,Hispanic,Spring,Community scene,Mother and daughter tending a garden together.,,Medium
Hispanic Spring 07,Hispanic,Spring,Community scene,Family sharing breakfast with a calm home feeling.,,Medium
Hispanic Spring 08,Hispanic,Spring,Community scene,Two friends talking after a wellness group.,,High
Hispanic Spring 09,Hispanic,Spring,Quote page,Floral border.,Un día a la vez.,High
Hispanic Spring 10,Hispanic,Spring,Quote page,Butterflies and soft garden accents.,Estoy creciendo con esperanza.,High
Hispanic Spring 11,Hispanic,Spring,Quote page,"Rain, blossoms, and soft linework.",Mi paz importa.,Medium
Hispanic Spring 12,Hispanic,Spring,Symbol page,"Flowers, hummingbirds, hearts, and sun motifs.",,Medium
Hispanic Spring 13,Hispanic,Spring,Decorative page,"Journal, tiled accents, and spring border.",,Medium
Hispanic Spring 14,Hispanic,Spring,Environment page,Calm bedroom with woven blanket and plants.,,High
Hispanic Spring 15,Hispanic,Spring,Environment page,Courtyard or patio sanctuary scene.,,Medium
Hispanic Summer 01,Hispanic,Summer,Solo portrait,Woman resting in sunlight with sketchbook.,,High
Hispanic Summer 02,Hispanic,Summer,Solo portrait,Man on beachside boardwalk or riverside walk.,,Medium
Hispanic Summer 03,Hispanic,Summer,Solo portrait,Young adult stretching in a bright backyard.,,High
Hispanic Summer 04,Hispanic,Summer,Solo portrait,Woman laughing softly on shaded porch.,,Medium
Hispanic Summer 05,Hispanic,Summer,Community scene,Outdoor support group under trees.,,High
Hispanic Summer 06,Hispanic,Summer,Community scene,Family cookout focused on reconnection and peace.,,High
Hispanic Summer 07,Hispanic,Summer,Community scene,Friends sharing aguas frescas and conversation.,,Medium
Hispanic Summer 08,Hispanic,Summer,Community scene,Elder offering encouragement to younger adult.,,Medium
Hispanic Summer 09,Hispanic,Summer,Quote page,Sun and summer warmth.,La sanación también puede tener alegría.,High
Hispanic Summer 10,Hispanic,Summer,Quote page,Bold sun accents.,Sigo adelante.,High
Hispanic Summer 11,Hispanic,Summer,Quote page,Open sky and calm space.,Hoy elijo calma.,High
Hispanic Summer 12,Hispanic,Summer,Symbol page,"Sun, flowers, fruit, and hearts.",,Medium
Hispanic Summer 13,Hispanic,Summer,Decorative page,Picnic motifs and summer borders.,,Medium
Hispanic Summer 14,Hispanic,Summer,Environment page,Safe outdoor patio with lanterns and plants.,,Medium
Hispanic Summer 15,Hispanic,Summer,Environment page,Community center courtyard scene.,,High
Hispanic Fall 01,Hispanic,Fall,Solo portrait,Woman in shawl journaling beside a window.,,High
Hispanic Fall 02,Hispanic,Fall,Solo portrait,Man with coffee walking under autumn trees.,,Medium
Hispanic Fall 03,Hispanic,Fall,Solo portrait,Young adult reading affirmations in a cozy chair.,,High
Hispanic Fall 04,Hispanic,Fall,Solo portrait,Woman making tea in a peaceful kitchen.,,High
Hispanic Fall 05,Hispanic,Fall,Community scene,Indoor recovery group with warm seasonal décor.,,High
Hispanic Fall 06,Hispanic,Fall,Community scene,Family preparing a comforting meal together.,,Medium
Hispanic Fall 07,Hispanic,Fall,Community scene,Sisters talking honestly at a table.,,Medium
Hispanic Fall 08,Hispanic,Fall,Community scene,Mentor check-in after a class or meeting.,,High
Hispanic Fall 09,Hispanic,Fall,Quote page,Warm cup and autumn textures.,Puedo descansar.,High
Hispanic Fall 10,Hispanic,Fall,Quote page,Leaves and reflective border.,Estoy aprendiendo a soltar.,High
Hispanic Fall 11,Hispanic,Fall,Quote page,Window light and soft linework.,Todavía hay luz para mí.,High
Hispanic Fall 12,Hispanic,Fall,Symbol page,"Leaves, mugs, candles, and flowers.",,Medium
Hispanic Fall 13,Hispanic,Fall,Decorative page,Woven textures and fall patterns.,,Medium
Hispanic Fall 14,Hispanic,Fall,Environment page,Reading corner with blankets and houseplants.,,High
Hispanic Fall 15,Hispanic,Fall,Environment page,Warm dining room sanctuary scene.,,Medium
Hispanic Winter 01,Hispanic,Winter,Solo portrait,Woman with candle and journal by a window.,,High
Hispanic Winter 02,Hispanic,Winter,Solo portrait,Man bundled up on a peaceful morning walk.,,Medium
Hispanic Winter 03,Hispanic,Winter,Solo portrait,Young adult coloring near a lamp and blanket.,,High
Hispanic Winter 04,Hispanic,Winter,Solo portrait,Woman reflecting with cocoa and soft music.,,High
Hispanic Winter 05,Hispanic,Winter,Community scene,Indoor support gathering with welcoming chairs.,,High
Hispanic Winter 06,Hispanic,Winter,Community scene,Parent and adult child sharing healing conversation.,,Medium
Hispanic Winter 07,Hispanic,Winter,Community scene,Friends checking on one another during winter.,,Medium
Hispanic Winter 08,Hispanic,Winter,Community scene,Family game night centered on safe connection.,,High
