Text / Quote,Category,Type,Suggested Images / Visual Elements,Design Prompt
"Still Here, Still Clean",Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Still Here, Still Clean” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
Plot twist: I made it,Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Plot twist: I made it” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
Recovering Out Loud,Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Recovering Out Loud” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
I survived my own worst idea,Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “I survived my own worst idea” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
Cleantime is a whole vibe,Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Cleantime is a whole vibe” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
"Don't speak, just listen",Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Don't speak, just listen” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
"No matter who lies, dies, or flies",Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “No matter who lies, dies, or flies” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
On the upside - I haven't used,Recovery,Sassy,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “On the upside - I haven't used” Use a sassy visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
Clean & Serene since 1953 (or clean date),Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Clean & Serene since 1953 (or clean date)” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
"Sit down, Shut TF up, & Listen. You might learn something",Recovery,Confrontational,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Sit down, Shut TF up, & Listen. You might learn something” Use a confrontational visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
Meeting Maker,Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “Meeting Maker” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
K.I.S.S. - Keep It Simple Stupid,Recovery,Bold,recovery coin/date badge; steps or footprints; sunrise; subtle community motif,"T-shirt design for VV-Styles featuring the exact quote: “K.I.S.S. - Keep It Simple Stupid” Use a bold visual tone and Recovery theme. Visual elements: recovery coin/date badge; steps or footprints; sunrise; subtle community motif. Make the quote the primary focal point, with strong readable typography, a clean print-friendly composition, high contrast, intentional spacing, and no unnecessary background clutter."
