book slot,ethnicity line,season,page number,page type,template id,template name,detail load,quote text,commercial priority,full prompt,compact prompt,negative prompt
African American Spring 01,African American,Spring,01,Solo portrait,TPL-08,Window + Journal Reflection,Medium,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Woman journaling by a rainy window with plants.
COMPOSITION (TPL-08 Window + Journal Reflection): Person seated indoors at a window with a journal, mug, or book; the outside view simplified to weather and one or two shapes; indoor comfort props nearby. Top: window frame and weather; Center: seated figure; Lower: blanket, book, mug, plant.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: The window view should stay simple and not compete with the figure.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Woman journaling by a rainy window with plants. Person seated indoors at a window with a journal, mug, or book; the outside view simplified to weather and one or two shapes; indoor comfort props nearby. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. The window view should stay simple and not compete with the figure. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 02,African American,Spring,02,Solo portrait,TPL-06,Walking Reflection Scene,Light-Medium,,Medium,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Man walking at sunrise in a neighborhood park.
COMPOSITION (TPL-06 Walking Reflection Scene): Single figure outdoors on a path, sidewalk, trail, dock, or shoreline with calm background depth and limited environmental clutter. Top: sky, trees, or buildings minimal; Center: figure; Lower: path, leaves, water, flowers, pavement texture.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep large sky and path zones open to avoid density.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Man walking at sunrise in a neighborhood park. Single figure outdoors on a path, sidewalk, trail, dock, or shoreline with calm background depth and limited environmental clutter. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep large sky and path zones open to avoid density. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 03,African American,Spring,03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Medium,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Young adult with natural hair doing breathing exercises.
COMPOSITION (TPL-01 Solo Portrait Calm Scene): One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. Top: seasonal cues; Center: face/body focal point; Mid-lower: hands/object; Edges: light framing motifs.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Leave 35-45 percent open colorable space.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Young adult with natural hair doing breathing exercises. One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Leave 35-45 percent open colorable space. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 04,African American,Spring,04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Medium,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Woman wrapped in blanket holding tea and affirmations.
COMPOSITION (TPL-01 Solo Portrait Calm Scene): One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. Top: seasonal cues; Center: face/body focal point; Mid-lower: hands/object; Edges: light framing motifs.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Leave 35-45 percent open colorable space.
VARIATION: Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Woman wrapped in blanket holding tea and affirmations. One focal person centered slightly off-axis, 2-3 supporting props, light background context, open lower corners. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Leave 35-45 percent open colorable space. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 05,African American,Spring,05,Community scene,TPL-02,Support Circle Scene,Heavy,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Small recovery circle in a community room.
COMPOSITION (TPL-02 Support Circle Scene): 3-5 people in a curved or circular arrangement, one clear focal interaction, simple background geometry. Indoor variant uses simple room geometry; outdoor variant uses trees, park edge, or garden as a low-detail backdrop. Top: wall, window, banners, or tree line kept minimal; Center: group interaction; Bottom: chairs, floor, ground, grounding objects.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep background under 30 percent detail so figures stay readable.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Small recovery circle in a community room. 3-5 people in a curved or circular arrangement, one clear focal interaction, simple background geometry. Indoor variant uses simple room geometry; outdoor variant uses trees, park edge, or garden as a low-detail backdrop. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep background under 30 percent detail so figures stay readable. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 06,African American,Spring,06,Community scene,TPL-07,Pair Conversation Scene,Medium,,Medium,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Mother and adult daughter planting flowers together.
COMPOSITION (TPL-07 Pair Conversation Scene): Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep railing, walls, table, and ground simple enough for color fill.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Mother and adult daughter planting flowers together. Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep railing, walls, table, and ground simple enough for color fill. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 07,African American,Spring,07,Community scene,TPL-07,Pair Conversation Scene,Medium,,Medium,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Friends on a porch sharing encouragement.
COMPOSITION (TPL-07 Pair Conversation Scene): Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep railing, walls, table, and ground simple enough for color fill.
VARIATION: Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Friends on a porch sharing encouragement. Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep railing, walls, table, and ground simple enough for color fill. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 08,African American,Spring,08,Community scene,TPL-07,Pair Conversation Scene,Medium,,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Mentor and newcomer talking after a meeting.
COMPOSITION (TPL-07 Pair Conversation Scene): Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. Top: plants, string lights, window, or tree line; Center: the two figures and their shared focus; Bottom: floorboards, table, bench, path, or ground.
REPRESENTATION: African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Natural proportions. No stereotypes, no costume-like exaggeration, no tokenism.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Keep railing, walls, table, and ground simple enough for color fill.
VARIATION: Use 3 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.
TEXT: none. The page must contain no lettering of any kind.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Mentor and newcomer talking after a meeting. Exactly 2-3 figures in close, readable interaction: seated together, standing side by side, or walking together. Anchor is a porch railing, patio edge, park or city bench, kitchen or dining table, shop chair, or shared task. African American figures with natural hairstyles, a broad range of skin tones rendered through line detail only, everyday contemporary clothing, and respectful home and community settings. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Keep railing, walls, table, and ground simple enough for color fill. No text anywhere on the page.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 09,African American,Spring,09,Quote page,TPL-03,Quote Page Framed Border,Light,Healing one day at a time.,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Floral border with spring blossoms.
COMPOSITION (TPL-03 Quote Page Framed Border): Short centered quote with wide margins and seasonal border motifs on 2-4 sides. Top-third: quote; Outer frame: florals and symbols; Corners: accent clusters; Center whitespace preserved.
REPRESENTATION: no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Preserve at least 50 percent open space around text.
QUOTE TEXT: ""Healing one day at a time."" Set centered in the upper-middle in a clean serif, well inside the safe margin. This is the only text on the page.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Floral border with spring blossoms. Short centered quote with wide margins and seasonal border motifs on 2-4 sides. no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Preserve at least 50 percent open space around text. Quote text: ""Healing one day at a time."" centered, upper-middle.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
African American Spring 10,African American,Spring,10,Quote page,TPL-03,Quote Page Framed Border,Light,I am allowed to begin again.,High,"DOC SPEC: 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin.
SCENE: Butterflies and soft garden accents.
COMPOSITION (TPL-03 Quote Page Framed Border): Short centered quote with wide margins and seasonal border motifs on 2-4 sides. Top-third: quote; Outer frame: florals and symbols; Corners: accent clusters; Center whitespace preserved.
REPRESENTATION: no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like.
SEASON (Spring): flowers, rain, fresh air, journals, new beginnings.
TONE: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions.
LINE WORK: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring.
WHITE SPACE: Preserve at least 50 percent open space around text.
VARIATION: Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.
QUOTE TEXT: ""I am allowed to begin again."" Set centered in the upper-middle in a clean serif, well inside the safe margin. This is the only text on the page.
NEGATIVE: violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration.","Black-and-white printable adult coloring page, 8.5 x 11 inch portrait, 300 DPI, pure black line art on white, no shading, no grayscale, no color fills, all content inside a 0.375 inch safe margin. Butterflies and soft garden accents. Short centered quote with wide margins and seasonal border motifs on 2-4 sides. no people, no figures, and no body parts anywhere on this page. Cultural character is carried by objects, textiles, plants, and pattern, never by a figure. Keep those details lived-in rather than costume-like. Season cues: flowers, rain, fresh air, journals, new beginnings. Tone: calm, hopeful, reflective, grounded, and supportive; relaxed posture, open hands, soft expressions. Line work: primary contours 0.75-1.25 pt, secondary detail 0.5-0.75 pt, at least two visibly distinct line weights, nothing below 0.5 pt, fully closed shapes suitable for coloring. Preserve at least 50 percent open space around text. Quote text: ""I am allowed to begin again."" centered, upper-middle.","violence, weapons, bruising, visible injury, drug use, drug paraphernalia, self-harm, police scenes, hospital or clinical crisis imagery, restraints, panic or extreme distress, gray shading, grayscale, color fills, photorealism, 3D render, distorted hands, extra fingers, malformed faces, stray text or watermarks, overcrowded composition, dense mandala fill, low contrast, broken or open outlines, childish cartoon style, ethnic stereotyping, costume-like exaggeration"
