ethnicity line,season,product type,priority,position in launch,format role,notes
African American,Spring,Flagship,High,Launch first,Hero product,"African American Spring Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three spring books."
African American,Spring,Renewal,Medium,Launch first,Core product,"African American Spring Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three spring books."
African American,Spring,Mindfulness,High,Launch first,Core product,"African American Spring Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three spring books."
African American,Spring,Self-Care,Medium,Launch first,Support product,"African American Spring Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three spring books."
African American,Summer,Flagship,High,Launch second,Hero product,"African American Summer Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three summer books."
African American,Summer,Renewal,Medium,Launch second,Core product,"African American Summer Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three summer books."
African American,Summer,Mindfulness,High,Launch second,Core product,"African American Summer Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three summer books."
African American,Summer,Self-Care,Medium,Launch second,Support product,"African American Summer Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three summer books."
African American,Fall,Flagship,High,Launch third,Hero product,"African American Fall Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three fall books."
African American,Fall,Renewal,Medium,Launch third,Core product,"African American Fall Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three fall books."
African American,Fall,Mindfulness,High,Launch third,Core product,"African American Fall Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three fall books."
African American,Fall,Self-Care,Medium,Launch third,Support product,"African American Fall Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three fall books."
African American,Winter,Flagship,High,Launch fourth,Hero product,"African American Winter Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three winter books."
African American,Winter,Renewal,Medium,Launch fourth,Core product,"African American Winter Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three winter books."
African American,Winter,Mindfulness,High,Launch fourth,Core product,"African American Winter Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three winter books."
African American,Winter,Self-Care,Medium,Launch fourth,Support product,"African American Winter Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three winter books."
Hispanic,Spring,Flagship,High,Launch first,Hero product,"Hispanic Spring Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three spring books."
Hispanic,Spring,Renewal,Medium,Launch first,Core product,"Hispanic Spring Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three spring books."
Hispanic,Spring,Mindfulness,High,Launch first,Core product,"Hispanic Spring Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three spring books."
Hispanic,Spring,Self-Care,Medium,Launch first,Support product,"Hispanic Spring Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three spring books."
Hispanic,Summer,Flagship,High,Launch second,Hero product,"Hispanic Summer Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three summer books."
Hispanic,Summer,Renewal,Medium,Launch second,Core product,"Hispanic Summer Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three summer books."
Hispanic,Summer,Mindfulness,High,Launch second,Core product,"Hispanic Summer Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three summer books."
Hispanic,Summer,Self-Care,Medium,Launch second,Support product,"Hispanic Summer Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three summer books."
Hispanic,Fall,Flagship,High,Launch third,Hero product,"Hispanic Fall Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three fall books."
Hispanic,Fall,Renewal,Medium,Launch third,Core product,"Hispanic Fall Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three fall books."
Hispanic,Fall,Mindfulness,High,Launch third,Core product,"Hispanic Fall Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three fall books."
Hispanic,Fall,Self-Care,Medium,Launch third,Support product,"Hispanic Fall Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three fall books."
Hispanic,Winter,Flagship,High,Launch fourth,Hero product,"Hispanic Winter Flagship: the broad emotional journey of healing, self-discovery, and joy. Creative identity must remain distinct from the other three winter books."
Hispanic,Winter,Renewal,Medium,Launch fourth,Core product,"Hispanic Winter Renewal: release of old patterns, new beginnings, growth, and forward movement. Creative identity must remain distinct from the other three winter books."
Hispanic,Winter,Mindfulness,High,Launch fourth,Core product,"Hispanic Winter Mindfulness: presence, breathing, grounding, stillness, and noticing small moments. Creative identity must remain distinct from the other three winter books."
Hispanic,Winter,Self-Care,Medium,Launch fourth,Support product,"Hispanic Winter Self-Care: rest, boundaries, nurturing routines, self-respect, and replenishment. Creative identity must remain distinct from the other three winter books."
