product_id,ethnicity_line,season,product_type,working_title,product_description_status,keyword_plan_status,cover_status,thumbnail_status,interior_preview_status,mockup_status,download_pdf_status,product_page_status,pricing_status,bundle_status,email_copy_status,social_caption_status,social_graphic_status,launch_date,launch_channel,publish_status,post_launch_review_date,owner,notes
AA-SPR-FLAG,African American,Spring,Flagship,"Rooted in Hope: Spring Recovery Coloring Book",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,"Hero launch product for the African American Spring line."
AA-SPR-MIND,African American,Spring,Mindfulness,"Quiet Growth: Spring Mindfulness Coloring Pages",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,
AA-SPR-REN,African American,Spring,Renewal,"Begin Again: Spring Renewal Coloring Pages",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,
AA-SPR-SC,African American,Spring,Self-Care,"Gentle With Myself: Spring Self-Care Coloring Pages",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,
HSP-SPR-FLAG,Hispanic,Spring,Flagship,"Colores de Sanación: Libro de Colorear de Recuperación Primavera",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,"Hold publishing until Spanish copy and visible text have native-speaker review."
HSP-SPR-MIND,Hispanic,Spring,Mindfulness,"Un Día a la Vez: Páginas de Colorear para la Atención Plena",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,"Hold publishing until Spanish copy and visible text have native-speaker review."
HSP-SPR-REN,Hispanic,Spring,Renewal,"Crecer con Esperanza: Páginas de Colorear de Primavera",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,"Hold publishing until Spanish copy and visible text have native-speaker review."
HSP-SPR-SC,Hispanic,Spring,Self-Care,"Mi Paz Importa: Páginas de Colorear de Autocuidado",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,"Hold publishing until Spanish copy and visible text have native-speaker review."
MUL-SPR-FLAG,Multiracial,Spring,Flagship,"Many Shades of Healing: Spring Recovery Coloring Book",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,"Hero launch product for the Multiracial Spring line."
MUL-SPR-MIND,Multiracial,Spring,Mindfulness,"Healing Has Many Faces: Spring Mindfulness Coloring Pages",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,
MUL-SPR-REN,Multiracial,Spring,Renewal,"Safe to Grow: Spring Renewal Coloring Pages",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,
MUL-SPR-SC,Multiracial,Spring,Self-Care,"My Joy Counts Too: Spring Self-Care Coloring Pages",Not Started,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,Website / Digital Storefront,Not Published,,Sunshine,
