ethnicity line,season,product id,title,keywords,description
African American,Spring,African American Spring flagship 1,Healing seasonal coloring book for Black women and men,healing coloring pages recovery wellness,"Black recovery coloring book, printable healing art pages, seasonal self-care illustrations"
African American,Spring,African American Spring flagship 2,Spring renewal coloring pages for African American recovery,spring healing art journaling calm,"Seasonal recovery coloring pages with faith, flowers, and hope-filled scenes"
African American,Spring,African American Spring flagship 3,Recovery and mindfulness coloring workbook for Black adults,mindfulness coloring workbook therapeutic art,"Calming adult coloring pages designed for reflection, rest, and emotional recovery"
African American,Spring,African American Spring flagship 4,African American self-care coloring pages for spring,self care art pages printable wellness,"A culturally inclusive coloring book centered on peace, growth, and renewal"
African American,Summer,African American Summer flagship 1,Healing summer coloring book for African American adults,summer wellness coloring pages healing,"Bright, peaceful seasonal coloring pages for recovery, joy, and self-discovery"
African American,Summer,African American Summer flagship 2,Black self-care and recovery coloring pages,recovery art pages printable adult coloring,"Supportive illustrations for mindfulness, rest, and daily encouragement"
African American,Summer,African American Summer flagship 3,Culturally inclusive coloring pages for summer healing,seasonal healing workbook reflection,A warm seasonal collection featuring everyday wellness scenes and affirmations
African American,Summer,African American Summer flagship 4,African American mindful coloring book summer edition,mindfulness pages seasonal recovery,"A calm, uplifting coloring set for adults seeking a creative reset"
African American,Fall,African American Fall flagship 1,African American fall healing coloring book,fall recovery coloring pages gratitude,Autumn-themed printable art pages with reflective moments and cozy settings
African American,Fall,African American Fall flagship 2,Black recovery coloring workbook for adults,therapeutic coloring pages self care,"Designed for quiet reflection, gratitude, and emotional grounding"
African American,Fall,African American Fall flagship 3,Seasonal wellness coloring pages for Black adults,adult coloring workbook healing art,"A warm, culturally aware set of fall scenes and affirmation pages"
African American,Fall,African American Fall flagship 4,Healing through art coloring pages fall edition,mindfulness coloring pages autumn,"A restorative coloring collection built around rest, release, and renewal"
African American,Winter,African American Winter flagship 1,African American winter healing coloring book,winter self care coloring pages,"Peaceful seasonal pages focused on comfort, hope, and inner calm"
African American,Winter,African American Winter flagship 2,Black adult coloring book for recovery and reflection,reflection coloring pages therapeutic,A gentle winter collection for quiet moments and emotional support
African American,Winter,African American Winter flagship 3,Culturally inclusive winter wellness coloring pages,calming adult coloring pages,A soothing set of winter illustrations for adults who want a mindful creative outlet
African American,Winter,African American Winter flagship 4,Black self-care coloring workbook winter edition,healing art pages printable,"Uplifting line art with candles, blankets, journals, and peaceful winter scenes"
