ethnicity line,season,page number,book slot,page type,template id,template name,scene,seasonal detail,detail load,assignment basis,repeat variant,notes
African American,Spring,01,African American Spring 01,Solo portrait,TPL-08,Window + Journal Reflection,Woman journaling by a rainy window with plants.,"flowers, rain, fresh air, journals, new beginnings",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,02,African American Spring 02,Solo portrait,TPL-06,Walking Reflection Scene,Man walking at sunrise in a neighborhood park.,"flowers, rain, fresh air, journals, new beginnings",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,03,African American Spring 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult with natural hair doing breathing exercises.,"flowers, rain, fresh air, journals, new beginnings",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,04,African American Spring 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman wrapped in blanket holding tea and affirmations.,"flowers, rain, fresh air, journals, new beginnings",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,05,African American Spring 05,Community scene,TPL-02,Support Circle Scene,Small recovery circle in a community room.,"flowers, rain, fresh air, journals, new beginnings",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,06,African American Spring 06,Community scene,TPL-07,Pair Conversation Scene,Mother and adult daughter planting flowers together.,"flowers, rain, fresh air, journals, new beginnings",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,07,African American Spring 07,Community scene,TPL-07,Pair Conversation Scene,Friends on a porch sharing encouragement.,"flowers, rain, fresh air, journals, new beginnings",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,08,African American Spring 08,Community scene,TPL-07,Pair Conversation Scene,Mentor and newcomer talking after a meeting.,"flowers, rain, fresh air, journals, new beginnings",Medium,two to three figures in close interaction,"Use 3 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,09,African American Spring 09,Quote page,TPL-03,Quote Page Framed Border,Floral border with spring blossoms.,"flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,10,African American Spring 10,Quote page,TPL-03,Quote Page Framed Border,Butterflies and soft garden accents.,"flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,11,African American Spring 11,Quote page,TPL-03,Quote Page Framed Border,"Rain, blossoms, and soft linework.","flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,12,African American Spring 12,Symbol page,TPL-05,Symbol Cluster Page,"Braids, flowers, hearts, doves, and healing motifs.","flowers, rain, fresh air, journals, new beginnings",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,13,African American Spring 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Spring wreath, coffee mug, journal, and soft border shapes.","flowers, rain, fresh air, journals, new beginnings",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,14,African American Spring 14,Environment page,TPL-04,Healing Room Interior,"Cozy bedroom sanctuary with books, candles, and plants.","flowers, rain, fresh air, journals, new beginnings",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Spring,15,African American Spring 15,Environment page,TPL-04,Healing Room Interior,Church fellowship hall or wellness room set for support.,"flowers, rain, fresh air, journals, new beginnings",Heavy,"interior room, no people","Use 2 of TPL-04 in this book — change the room and anchor furniture: bed vs armchair vs table, and move the light source.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,01,African American Summer 01,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman sitting under a tree with a recovery journal.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,02,African American Summer 02,Solo portrait,TPL-06,Walking Reflection Scene,Man at a lakefront dock reflecting peacefully.,"sunlight, porches, gardens, walking paths, community warmth",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,03,African American Summer 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult stretching in morning sunlight.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,04,African American Summer 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman smiling on a porch swing with tea.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path","Use 3 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,05,African American Summer 05,Community scene,TPL-02,Support Circle Scene,Outdoor support group in a park.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,06,African American Summer 06,Community scene,TPL-02,Support Circle Scene,Family picnic centered on peace and connection.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,07,African American Summer 07,Community scene,TPL-07,Pair Conversation Scene,Two friends walking a neighborhood trail.,"sunlight, porches, gardens, walking paths, community warmth",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,08,African American Summer 08,Community scene,TPL-02,Support Circle Scene,Barber shop or beauty shop encouragement scene.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,"group scene, no explicit pair cue","Use 3 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
African American,Summer,09,African American Summer 09,Quote page,TPL-03,Quote Page Framed Border,Sunflowers and bright summer accents.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
