ethnicity line,season,product id,title,keywords,description
African American,Spring,African American Spring flagship 1,Healing seasonal coloring book for Black women and men,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Spring flagship collection for african american adults, featuring renewal, fresh starts, gentle growth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Spring,African American Spring flagship 2,Spring renewal coloring pages for African American recovery,"renewal coloring pages, growth coloring book, new beginnings art, recovery reflection","Spring renewal collection for african american adults, featuring renewal, fresh starts, gentle growth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Spring,African American Spring flagship 3,Recovery and mindfulness coloring workbook for Black adults,"mindfulness coloring book, grounding art pages, calm coloring, reflective wellness","Spring mindfulness collection for african american adults, featuring renewal, fresh starts, gentle growth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Spring,African American Spring flagship 4,African American self-care coloring pages for spring,"self-care coloring book, rest and boundaries, wellness coloring pages, self kindness art","Spring self-care collection for african american adults, featuring renewal, fresh starts, gentle growth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Summer,African American Summer flagship 1,Healing summer coloring book for African American adults,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Summer flagship collection for african american adults, featuring joy, freedom, connection, confident movement through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Summer,African American Summer flagship 2,Black self-care and recovery coloring pages,"self-care coloring book, rest and boundaries, wellness coloring pages, self kindness art","Summer self-care collection for african american adults, featuring joy, freedom, connection, confident movement through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Summer,African American Summer flagship 3,Culturally inclusive coloring pages for summer healing,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Summer flagship collection for african american adults, featuring joy, freedom, connection, confident movement through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Summer,African American Summer flagship 4,African American mindful coloring book summer edition,"mindfulness coloring book, grounding art pages, calm coloring, reflective wellness","Summer mindfulness collection for african american adults, featuring joy, freedom, connection, confident movement through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Fall,African American Fall flagship 1,African American fall healing coloring book,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Fall flagship collection for african american adults, featuring release, gratitude, grounding, reflection through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Fall,African American Fall flagship 2,Black recovery coloring workbook for adults,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Fall flagship collection for african american adults, featuring release, gratitude, grounding, reflection through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Fall,African American Fall flagship 3,Seasonal wellness coloring pages for Black adults,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Fall flagship collection for african american adults, featuring release, gratitude, grounding, reflection through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Fall,African American Fall flagship 4,Healing through art coloring pages fall edition,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Fall flagship collection for african american adults, featuring release, gratitude, grounding, reflection through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Winter,African American Winter flagship 1,African American winter healing coloring book,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Winter flagship collection for african american adults, featuring rest, hope, tenderness, inner warmth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Winter,African American Winter flagship 2,Black adult coloring book for recovery and reflection,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Winter flagship collection for african american adults, featuring rest, hope, tenderness, inner warmth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Winter,African American Winter flagship 3,Culturally inclusive winter wellness coloring pages,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","Winter flagship collection for african american adults, featuring rest, hope, tenderness, inner warmth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
African American,Winter,African American Winter flagship 4,Black self-care coloring workbook winter edition,"self-care coloring book, rest and boundaries, wellness coloring pages, self kindness art","Winter self-care collection for african american adults, featuring rest, hope, tenderness, inner warmth through purposeful everyday scenes, culturally respectful representation, and calm printable line art."
