ethnicity_line,season,product_id,title,primary_keyword,secondary_keywords,tags,short_description,long_description,target_audience,commercial_priority
Hispanic,Spring,HSP-SPR-01,Colores de Sanación: Spring Recovery Coloring Book,Spanish recovery coloring book,Hispanic wellness coloring pages; bilingual self-care printable; mental health coloring book; spring healing art,Spanish recovery coloring book|Hispanic wellness|bilingual coloring|mental health printable|self-care art|spring coloring pages|recovery workbook|mindful coloring|healing affirmations|adult coloring pages,"A 15-page spring coloring collection featuring Hispanic adults in calm, supportive, and hopeful healing moments.","Colores de Sanación: Spring Recovery Coloring Book is a printable 15-page adult coloring collection centered on renewal, reflection, and culturally respectful representation. It includes peaceful spring scenes, supportive relationships, calming environments, and affirmations. Created as a mindful creative activity for personal self-care, recovery routines, and wellness reflection; it is not a substitute for professional care.",Hispanic and Latino adults seeking culturally inclusive recovery and wellness coloring pages,High
Hispanic,Spring,HSP-SPR-02,Un Día a la Vez: Spring Mindfulness Coloring Pages,Spanish mindfulness coloring pages,Un día a la vez printable; Latino self-care; stress relief coloring; bilingual affirmation pages; calming art activity,Spanish mindfulness coloring|un día a la vez|Latino self care|stress relief printable|bilingual affirmations|calming coloring|recovery art|mental wellness|adult printable|spring mindfulness,A spring mindfulness coloring set with gentle bilingual affirmations and calming Hispanic-centered scenes.,"Un Día a la Vez brings together 15 printable coloring pages designed for quiet reflection, grounding, and mindful creative time. Seasonal imagery such as flowers, patios, journals, and peaceful home spaces supports a gentle spring atmosphere. Includes optional Spanish-forward affirmations and culturally inclusive representation.",Adults who prefer Spanish-forward or bilingual wellness content,High
Hispanic,Summer,HSP-SUM-01,Colores de Sanación: Summer Recovery Coloring Book,Hispanic summer coloring book,Latino recovery printable; summer wellness pages; self-care coloring book; culturally inclusive adult art,Hispanic summer coloring|Latino recovery|wellness printable|summer self care|adult coloring book|healing art pages|mindful printable|cultural representation|recovery support|summer calm,"A 15-page summer recovery coloring book with warm, joyful, and restorative Hispanic-centered scenes.","Colores de Sanación: Summer Recovery Coloring Book is a printable collection of peaceful summer scenes that celebrate rest, connection, community, and hopeful growth. Pages include outdoor reflection, family warmth, supportive friendships, and affirmations designed for a calming coloring experience.",Hispanic and Latino adults seeking seasonal recovery and self-care resources,High
Hispanic,Summer,HSP-SUM-02,Hoy Elijo Calma: Summer Self-Care Coloring Pages,Spanish self care coloring pages,Hoy elijo calma; Hispanic stress relief pages; Latino mindfulness printable; summer relaxation art,Spanish self care|hoy elijo calma|Hispanic stress relief|Latino mindfulness|summer coloring pages|adult wellness printable|calming art|self-care routine|recovery coloring|affirmation coloring,"A summer self-care coloring set centered on calm choices, rest, sunlight, and supportive connection.","Hoy Elijo Calma is a 15-page printable coloring set for adults who want a simple creative pause. It uses summer imagery, comfortable home and outdoor settings, and short affirmations to support mindful self-care and reflection.",Adults looking for Spanish-language or culturally inclusive self-care printables,Medium
Hispanic,Fall,HSP-FAL-01,Colores de Sanación: Fall Recovery Coloring Book,Hispanic fall coloring book,Latino gratitude coloring; autumn recovery pages; Spanish wellness printable; cozy self-care art,Hispanic fall coloring|Latino gratitude|autumn recovery|Spanish wellness|cozy self care|adult coloring pages|healing printable|mindful art|recovery workbook|fall affirmations,"A 15-page fall collection for gratitude, rest, reflection, and culturally inclusive recovery support.","Colores de Sanación: Fall Recovery Coloring Book pairs cozy autumn scenes with calm, recovery-centered themes. Expect journals, warm drinks, fall leaves, supportive conversations, and affirmations that invite rest and reflection.",Hispanic and Latino adults who value cozy seasonal wellness content,High
Hispanic,Fall,HSP-FAL-02,Puedo Descansar: Fall Reflection Coloring Pages,Spanish reflection coloring pages,Puedo descansar printable; Hispanic gratitude pages; fall mindfulness coloring; recovery reflection workbook,Spanish reflection|puedo descansar|Hispanic gratitude|fall mindfulness|recovery reflection|adult printable|calming coloring pages|Latino wellness|healing affirmations|cozy coloring,"A fall reflection set designed around rest, gratitude, gentle boundaries, and peaceful creative time.","Puedo Descansar includes 15 printable coloring pages for adults who want a calming fall ritual. The collection balances quiet indoor scenes, respectful community moments, and short Spanish-forward affirmations.",Adults seeking a Spanish-forward fall reflection and mindfulness product,Medium
Hispanic,Winter,HSP-WIN-01,Colores de Sanación: Winter Recovery Coloring Book,Hispanic winter coloring book,Latino winter wellness printable; recovery self-care art; Spanish calming pages; cozy adult coloring,Hispanic winter coloring|Latino wellness|winter self care|Spanish recovery|cozy coloring pages|adult printable|healing art|mindfulness coloring|recovery support|winter affirmations,"A 15-page winter coloring book centered on warmth, comfort, hope, and Hispanic-centered representation.","Colores de Sanación: Winter Recovery Coloring Book offers cozy printable scenes of rest, connection, warm drinks, lamps, blankets, and hopeful reflection. It is designed for adult coloring, mindful downtime, and personal wellness routines.",Hispanic and Latino adults seeking comforting winter self-care resources,High
Hispanic,Winter,HSP-WIN-02,La Esperanza Regresa: Winter Mindfulness Coloring Pages,Spanish winter mindfulness coloring,La esperanza regresa; bilingual winter affirmations; Hispanic mental wellness pages; calming printable art,Spanish winter mindfulness|la esperanza regresa|bilingual affirmations|Hispanic mental wellness|calming printable|winter coloring|adult self care|recovery art|hope coloring pages|Latino wellness,A winter mindfulness coloring set with hope-centered Spanish affirmations and warm indoor scenes.,"La Esperanza Regresa is a 15-page printable collection built around quiet hope, gentleness, and winter comfort. It combines calm environments, supportive relationships, and affirmation coloring pages for a restorative creative break.",Adults seeking hope-centered bilingual or Spanish-forward winter wellness content,Medium
Multiracial,Spring,MUL-SPR-01,Many Shades of Healing: Spring Recovery Coloring Book,multiracial recovery coloring book,diverse adult coloring pages; inclusive wellness printable; spring healing art; blended family self-care,multiracial coloring book|diverse adult coloring|inclusive wellness|spring healing art|recovery printable|blended family coloring|mindful coloring pages|self-care printable|healing affirmations|adult wellness,"A 15-page spring recovery coloring collection celebrating diverse identities, supportive relationships, and new beginnings.","Many Shades of Healing: Spring Recovery Coloring Book is a printable 15-page adult collection featuring multiracial people, diverse friend groups, blended families, and calming spring scenes. It supports mindful coloring and personal reflection through hopeful, non-triggering artwork.",Multiracial adults and anyone seeking visibly inclusive wellness coloring pages,High
Multiracial,Spring,MUL-SPR-02,Healing Has Many Faces: Spring Mindfulness Coloring Pages,inclusive mindfulness coloring pages,diverse self-care printable; multiracial wellness art; spring affirmation coloring; recovery reflection pages,inclusive mindfulness|diverse self care|multiracial wellness|spring affirmations|recovery reflection|adult coloring pages|healing art printable|calming activity|representation matters|mindful coloring,"A spring mindfulness set celebrating diverse faces, gentle reflection, and safe spaces to grow.","Healing Has Many Faces includes 15 printable adult coloring pages with inclusive representation, calming seasonal motifs, and short affirmations. It is designed as a creative wellness practice for moments of grounding, rest, and reflection.",Adults who prioritize inclusive representation in mindfulness and self-care products,High
Multiracial,Summer,MUL-SUM-01,Many Shades of Healing: Summer Recovery Coloring Book,multiracial summer coloring book,diverse wellness printable; inclusive recovery art; summer self-care coloring; community healing pages,multiracial summer coloring|diverse wellness|inclusive recovery|summer self care|adult coloring book|healing art pages|mindful printable|community healing|recovery support|inclusive art,"A 15-page summer coloring book centered on joy, connection, outdoor calm, and diverse representation.","Many Shades of Healing: Summer Recovery Coloring Book is a printable collection of supportive summer scenes featuring diverse friends, blended families, peaceful outdoor spaces, and affirmations. It invites a gentle, creative pause for self-care and personal wellness reflection.",Multiracial adults and inclusive-audience wellness buyers,High
Multiracial,Summer,MUL-SUM-02,My Joy Counts Too: Summer Self-Care Coloring Pages,diverse self care coloring pages,inclusive summer mindfulness; multiracial adult printable; joy affirmation pages; stress relief coloring,diverse self care|inclusive summer mindfulness|my joy counts|multiracial printable|adult coloring pages|stress relief art|healing affirmations|summer wellness|mindful coloring|recovery self care,"A summer self-care coloring set focused on joy, permission to rest, and inclusive creative wellness.","My Joy Counts Too is a 15-page printable coloring set with diverse characters, warm outdoor scenes, and short affirmations. It is built for adults who want an approachable creative activity that honors joy and rest as part of wellness.",Adults seeking diverse and affirming summer self-care activities,Medium
