Design ID,Text / Quote,Category,Tone,Art Style,Lettering Style,Visual Elements,Color Direction,Product / Placement,Collection,Priority,Status,Review Flag,Asset Link,Notes
VVS-0001,"Still Here, Still Clean",Recovery,Bold,Retro Groovy,Mixed Caps + Script,,,"White tee, front center",Recovery Culture,,Launched,Clear,,stillhere.png - background box hidden by white fabric; rework transparent
VVS-0002,Plot twist: I made it,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0003,Recovering Out Loud,Recovery,Bold,Vintage Badge,Serif Editorial,,,"White tee, front center",Recovery Culture,,Launched,Clear,,recoveringoutloud.png - EST. 1995 date slot; box hidden by white fabric; rework transparent
VVS-0004,I survived my own worst idea,Recovery,Bold,Bold Minimal,Stencil,,,"White tee, front center",Recovery Culture,,Launched,Clear,,worstidea.png - box hidden by white fabric; rework transparent
VVS-0005,Cleantime is a whole vibe,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0006,"Don't speak, just listen",Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0007,"No matter who lies, dies, or flies",Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0008,On the upside - I haven't used,Recovery,Sassy,,,,,,,,Idea,Clear,,
VVS-0009,Clean & Serene since 1953 (or clean date),Recovery,Bold,Editorial Typographic,Serif Editorial,,,"Gray tee, front center",Recovery Culture,,Launched,Brand / Legal Review,,cleanserene.png - SINCE 1953 date slot; white square visible on gray; rework transparent
VVS-0010,"Sit down, Shut TF up, & Listen. You might learn something",Recovery,Confrontational,,,,,,,,Idea,Clear,,
VVS-0011,Meeting Maker,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0012,K.I.S.S. - Keep It Simple Stupid,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0013,"Feel, Deal, & Heal",Healing,Supportive,Hand-Drawn Doodle,Hand-Marker,,"Red, blue, green, yellow on white","White tee, front center",Recovery Culture,,Launched,Clear,,feeldealheal.jpg - white daisy petals vanish on white fabric; needs a colored garment to read
VVS-0014,Sponsorship: A two-way street,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0015,Work the Steps or D.I.E.,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0016,The Solution is in the Steps,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0017,Service is a Must,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0018,#No Matter What,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0019,"Broader the base, the Higher the Point of Freedom",Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0020,Newcomer: The Most Important Person in a Meeting,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0021,"Get some Recovery, then build on it.",Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0022,I Surrendered (clean date),Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0023,Best Day God ever made (clean date),Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0024,No Matter What Club,Recovery,Bold,,,,,,,,Idea,Brand / Legal Review,,
VVS-0025,"H.O.W. Honesty, Openminded, Willingness",Recovery,Informative,,,,,,,,Idea,Brand / Legal Review,,
VVS-0026,There are many paths to the road of Recovery,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0027,On fire for my Recovery,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0028,You repeat what you don't repair.,Healing,Supportive,,,,,,,,Idea,Clear,,
VVS-0029,"Self care is the art of nurturing your mind, body & soul to achieve inner harmony",Self-Care,Positive,,,,,,,,Idea,Clear,,
VVS-0030,My PAST does not dictate my Future,Motivational,Motivational,,,,,,,,Idea,Clear,,
VVS-0031,My happy place is LOVE,Love,Supportive,,,,,,,,Idea,Clear,,
VVS-0032,"Love does not hurt, It HEALS",Love,Supportive,,,,,,,,Idea,Clear,,
VVS-0033,I Survived,DV,Empowering,,,,,,,,Idea,Clear,,
VVS-0034,Strength is a defect (Flaw),DV,Empowering,,,,,,,,Idea,Clear,,
VVS-0035,Heal where you Hurt,Healing,Supportive,,,,,,,,Idea,Clear,,
VVS-0036,Proud to be Recovering,Recovery,Bold,Photoreal Composite,Sans Display,,,"Dark heather tee, front center",Recovery Culture,,Launched,Clear,,proud.png - orange rectangle visible; poster look may be intentional; test knock-out
VVS-0037,Proper planning prevents poor performance,Motivational,Motivational,,,,,,,,Idea,Clear,,
VVS-0038,Recovering since (date),Recovery,Bold,Vintage Badge,Hand-Marker,,,"Pink tee, front center",Recovery Culture,,Launched,Clear,,recoveringest.png - est. 2006 date slot; ONLY correctly knocked-out design
VVS-0039,Understanding & Application,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0040,Cotton (put it in your mouth not ears),Recovery,Humorous,,,,,,,,Idea,Brand / Legal Review,,
VVS-0041,Stay on guard for the unguarded moments,Recovery,Bold,,,,,,,,Idea,Clear,,
