ethnicity line,season,phase 1,phase 2,phase 3,phase 4,phase 5,phase 6,phase 7,phase 8,notes
African American,Spring,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,African American spring set moves from concept to launch in a fixed repeatable pipeline.
African American,Summer,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,African American summer set moves from concept to launch in a fixed repeatable pipeline.
African American,Fall,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,African American fall set moves from concept to launch in a fixed repeatable pipeline.
African American,Winter,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,African American winter set moves from concept to launch in a fixed repeatable pipeline.
Hispanic,Spring,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Hispanic spring set moves from concept to launch in a fixed repeatable pipeline.
Hispanic,Summer,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Hispanic summer set moves from concept to launch in a fixed repeatable pipeline.
Hispanic,Fall,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Hispanic fall set moves from concept to launch in a fixed repeatable pipeline.
Hispanic,Winter,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Hispanic winter set moves from concept to launch in a fixed repeatable pipeline.
Multiracial,Spring,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Multiracial spring set moves from concept to launch in a fixed repeatable pipeline.
Multiracial,Summer,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Multiracial summer set moves from concept to launch in a fixed repeatable pipeline.
Multiracial,Fall,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Multiracial fall set moves from concept to launch in a fixed repeatable pipeline.
Multiracial,Winter,Concept lock,Reference set,Line art draft,Internal review,Revision pass,Final export,Listing copy,Launch prep,Multiracial winter set moves from concept to launch in a fixed repeatable pipeline.
