product_id,ethnicity_line,season,product_type,working_title,page_count_target,page_count_verified,trim_size_verified,safe_margin_verified,line_weight_verified,black_white_verified,300_dpi_verified,quote_spelling_verified,spanish_native_review_verified,cultural_representation_review,trauma_informed_review,interior_page_order_verified,cover_title_verified,cover_thumbnail_verified,preview_images_verified,source_files_archived,license_rights_verified,pdf_export_verified,test_print_verified,accessibility_readability_verified,product_description_verified,keywords_verified,final_approval,qa_owner,qa_date,notes
AA-SPR-FLAG,African American,Spring,Flagship,"Rooted in Hope: Spring Recovery Coloring Book",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
AA-SPR-MIND,African American,Spring,Mindfulness,"Quiet Growth: Spring Mindfulness Coloring Pages",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
AA-SPR-REN,African American,Spring,Renewal,"Begin Again: Spring Renewal Coloring Pages",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
AA-SPR-SC,African American,Spring,Self-Care,"Gentle With Myself: Spring Self-Care Coloring Pages",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
HSP-SPR-FLAG,Hispanic,Spring,Flagship,"Colores de Sanación: Libro de Colorear de Recuperación Primavera",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,"Do not mark final approval until a fluent native Spanish reviewer approves all visible Spanish text."
HSP-SPR-MIND,Hispanic,Spring,Mindfulness,"Un Día a la Vez: Páginas de Colorear para la Atención Plena",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,"Do not mark final approval until a fluent native Spanish reviewer approves all visible Spanish text."
HSP-SPR-REN,Hispanic,Spring,Renewal,"Crecer con Esperanza: Páginas de Colorear de Primavera",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,"Do not mark final approval until a fluent native Spanish reviewer approves all visible Spanish text."
HSP-SPR-SC,Hispanic,Spring,Self-Care,"Mi Paz Importa: Páginas de Colorear de Autocuidado",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,"Do not mark final approval until a fluent native Spanish reviewer approves all visible Spanish text."
MUL-SPR-FLAG,Multiracial,Spring,Flagship,"Many Shades of Healing: Spring Recovery Coloring Book",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
MUL-SPR-MIND,Multiracial,Spring,Mindfulness,"Healing Has Many Faces: Spring Mindfulness Coloring Pages",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
MUL-SPR-REN,Multiracial,Spring,Renewal,"Safe to Grow: Spring Renewal Coloring Pages",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
MUL-SPR-SC,Multiracial,Spring,Self-Care,"My Joy Counts Too: Spring Self-Care Coloring Pages",15,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,N/A,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
