asset_id,ethnicity_line,season,page_number,page_title,asset_type,template_id,base_filename,source_file_name,line_art_file_name,png_file_name,vector_file_name,pdf_book_file_name,cover_file_name,preview_file_name,folder_path,status,version,license_or_rights_check,notes
AA-SPR-01,African American,Spring,01,Spring Renewal Journal,Interior page,TPL-01,AA_SPR_01_Spring-Renewal-Journal,AA_SPR_01_Spring-Renewal-Journal_SOURCE,AA_SPR_01_Spring-Renewal-Journal_LINEART,AA_SPR_01_Spring-Renewal-Journal_300DPI.png,AA_SPR_01_Spring-Renewal-Journal.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,Use hyphens or underscores consistently; do not overwrite approved versions.
AA-SPR-02,African American,Spring,02,Morning Path of Hope,Interior page,TPL-06,AA_SPR_02_Morning-Path-of-Hope,AA_SPR_02_Morning-Path-of-Hope_SOURCE,AA_SPR_02_Morning-Path-of-Hope_LINEART,AA_SPR_02_Morning-Path-of-Hope_300DPI.png,AA_SPR_02_Morning-Path-of-Hope.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
AA-SPR-03,African American,Spring,03,Quiet Growth by the Window,Interior page,TPL-08,AA_SPR_03_Quiet-Growth-by-the-Window,AA_SPR_03_Quiet-Growth-by-the-Window_SOURCE,AA_SPR_03_Quiet-Growth-by-the-Window_LINEART,AA_SPR_03_Quiet-Growth-by-the-Window_300DPI.png,AA_SPR_03_Quiet-Growth-by-the-Window.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
AA-SPR-04,African American,Spring,04,Circle of Support,Interior page,TPL-02,AA_SPR_04_Circle-of-Support,AA_SPR_04_Circle-of-Support_SOURCE,AA_SPR_04_Circle-of-Support_LINEART,AA_SPR_04_Circle-of-Support_300DPI.png,AA_SPR_04_Circle-of-Support.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
AA-SPR-05,African American,Spring,05,Healing One Day at a Time,Quote page,TPL-03,AA_SPR_05_Healing-One-Day-at-a-Time,AA_SPR_05_Healing-One-Day-at-a-Time_SOURCE,AA_SPR_05_Healing-One-Day-at-a-Time_LINEART,AA_SPR_05_Healing-One-Day-at-a-Time_300DPI.png,AA_SPR_05_Healing-One-Day-at-a-Time.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,Keep border art and editable quote text in separate source layers.
AA-SPR-06,African American,Spring,06,Porch Talk and Tea,Interior page,TPL-07,AA_SPR_06_Porch-Talk-and-Tea,AA_SPR_06_Porch-Talk-and-Tea_SOURCE,AA_SPR_06_Porch-Talk-and-Tea_LINEART,AA_SPR_06_Porch-Talk-and-Tea_300DPI.png,AA_SPR_06_Porch-Talk-and-Tea.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
AA-SPR-07,African American,Spring,07,Restful Room,Interior page,TPL-04,AA_SPR_07_Restful-Room,AA_SPR_07_Restful-Room_SOURCE,AA_SPR_07_Restful-Room_LINEART,AA_SPR_07_Restful-Room_300DPI.png,AA_SPR_07_Restful-Room.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
AA-SPR-08,African American,Spring,08,Spring Hope Symbols,Interior page,TPL-05,AA_SPR_08_Spring-Hope-Symbols,AA_SPR_08_Spring-Hope-Symbols_SOURCE,AA_SPR_08_Spring-Hope-Symbols_LINEART,AA_SPR_08_Spring-Hope-Symbols_300DPI.png,AA_SPR_08_Spring-Hope-Symbols.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
AA-SPR-09,African American,Spring,09,Peace Grows Here,Quote page,TPL-03,AA_SPR_09_Peace-Grows-Here,AA_SPR_09_Peace-Grows-Here_SOURCE,AA_SPR_09_Peace-Grows-Here_LINEART,AA_SPR_09_Peace-Grows-Here_300DPI.png,AA_SPR_09_Peace-Grows-Here.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,Keep border art and editable quote text in separate source layers.
AA-SPR-10,African American,Spring,10,Rainy Window Reflection,Interior page,TPL-01,AA_SPR_10_Rainy-Window-Reflection,AA_SPR_10_Rainy-Window-Reflection_SOURCE,AA_SPR_10_Rainy-Window-Reflection_LINEART,AA_SPR_10_Rainy-Window-Reflection_300DPI.png,AA_SPR_10_Rainy-Window-Reflection.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
AA-SPR-11,African American,Spring,11,Community Encouragement,Interior page,TPL-02,AA_SPR_11_Community-Encouragement,AA_SPR_11_Community-Encouragement_SOURCE,AA_SPR_11_Community-Encouragement_LINEART,AA_SPR_11_Community-Encouragement_300DPI.png,AA_SPR_11_Community-Encouragement.svg,AA_SPR_Flagship-Recovery-Coloring-Book_INTERIOR.pdf,,,/African-American/Spring/Interior-Pages/,Not Started,v01,Pending,
