Design ID,Text / Quote,Category,Tone,Art Style,Lettering Style,Visual Elements,Color Direction,Product / Placement,Collection,Priority,Status,Review Flag,Asset Link,Notes
VVS-0001,"Still Here, Still Clean",Recovery,Proud,Vintage Badge,Bold Sans + Script accent,"Strong circular vintage badge with a rising sun radiating from behind and an upward road arcing through the center. A small clean-date slot reading CLEAN SINCE ____. Surrounded by clean linework rays and a thin double-ring border. Confident, celebratory milestone energy.","Black, cream, warm gold, with a touch of forest green","Black tee, front center",Recovery Culture,High,Prompt Ready,Clear,,"Production: centered front print, isolated on transparent background, bold high-contrast shapes, DTF/screen-print friendly. Avoid: another fellowship medallion look, generic motivational mountains, tiny unreadable text, mockups, people, watermark, square background panel."
VVS-0002,Plot twist: I made it,Recovery,Bold,,,"Use a retro cinema-poster and comic-book reveal style. Make “PLOT TWIST” large and slanted across the top, with “I MADE IT” as the victorious focal line in a bright starburst. Add a torn-paper movie-poster edge, dramatic stage-light rays, and a tiny crossed-out phrase reading “THE END?” as a visual easter egg.","black, warm cream, tomato red, and marigold yellow","Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,"Avoid: recovery coins, sunrises, generic motivational mountains, mockups, people, watermark, tiny unreadable text, or a square background panel"
VVS-0003,Recovering Out Loud,Recovery,Empowering,Streetwear Graffiti,Sans Display,Abstract megaphone built from sound-wave lines; torn flyer edges; a small “NO SHAME / ALL VOICE” subline,"black, cream, electric cobalt, safety orange",Oversized front print; optional mini back-neck mark,,,Idea,Clear,,
VVS-0004,I survived my own worst idea,Recovery,Bold,,,,,,,,Idea,Clear,,
VVS-0005,Cleantime is a whole vibe,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0006,"Don't speak, just listen",Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0007,"No matter who lies, dies, or flies",Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0008,On the upside - I haven't used,Recovery,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0009,Clean & Serene since (clean date),Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0010,"Sit down, Shut TF up, & Listen. You might learn something",Recovery,Confrontational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0011,Meeting Maker,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0012,K.I.S.S. - Keep It Simple Stupid,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0013,"Feel, Deal, & Heal",Healing,Supportive,Soft Botanical Line Art,Hand-Marker Script,"Three connected stages flowing left to right: a heart with a small crack (Feel), hands gently working with the cracked heart (Deal), and the heart now whole with a small flower blooming from the seam (Heal). Soft botanical leaves and tendrils winding through the composition. Gentle, warm, restorative.","Sage green, dusty rose, cream, soft gold","Cream sweatshirt, front center",Healing Out Loud,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, print-friendly flat colors. Avoid: clinical/medical imagery, bandages, sad or victim tone, generic mountains, mockups, people, watermark, tiny text."
VVS-0014,Sponsorship: A two-way street,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0015,Work the Steps or D.I.E.,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0016,The Solution is in the Steps,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0017,Service is a Must,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0018,#No Matter What,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0019,"Broader the base, the Higher the Point of Freedom",Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0020,Newcomer- The Real M.I.P.,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0021,"Get some Recovery, then build on it.",Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0022,I Surrendered (clean date),Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0023,Best Day God ever made (clean date),Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0024,No Matter What Club,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0025,H.O.W.,Recovery,Informative,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0026,There are many paths to the road of Recovery,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0027,On fire for my Recovery,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0028,You repeat what you don't repair.,Healing,Supportive,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0029,"Self care is the art of nurturing your mind, body & soul to achieve inner harmony",Self-Care,Positive,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0030,My PAST does not dictate my Future,Motivational,Motivational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0031,My happy place is LOVE,Love,Supportive,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0032,"Love does not hurt, It HEALS",Love,Supportive,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0033,I Survived,DV,Empowering,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0034,Strength is a defect (Flaw),DV,Empowering,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0035,Heal where you Hurt,Healing,Reflective,Emotional Illustrative,Serif Editorial,"A single glowing heart with a band of light and small flowers growing directly out of the crack in its center, healing emerging from the exact place of pain. Subtle botanical growth and soft light rays emanating from the seam. Intentional, tender, powerful.","Deep burgundy, blush, warm gold, cream","Black tee, front center",Healing Out Loud,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, high contrast. Avoid: literal injuries, blood, medical/bandage imagery, victim tone, generic mountains, mockups, people, watermark."
VVS-0036,Proud to be Recovering,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0037,Proper planning prevents poor performance,Motivational,Motivational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0038,Recovering since (date),Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0039,Understanding & Application,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0040,Cotton (put it in your mouth not ears),Recovery,Humorous,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0041,Stay on guard for the unguarded moments,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0042,Not a dumptruck,Recovery,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0043,Recovery is an uphill journey,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0044,Fathers Matter,Awareness,Empowering,Collegiate / Varsity Emblem,Block Caps,"A varsity-style shield crest with a silhouette of a father and child holding hands, a strong tree with deep roots growing behind them, and small stars at the top. A ribbon banner beneath the crest. Strong, dignified, legacy-focused.","Navy, cream, warm gold, deep red accent","Navy or black tee, front center",Legacy & Awareness,High,Prompt Ready,Clear,,"Production: centered front print, transparent background, limited flat print-friendly colors. Avoid: stereotypes, cartoonish figures, generic stock-dad imagery, mockups, watermark, tiny text."
VVS-0045,Leave a legacy not a curse,Family,Supportive,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0046,Self esteem,Self-Esteem,Confident,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0047,My Fuck You game is strong,Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0048,Power of the WE,Recovery,Bold,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0049,I'm Judgey,Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0050,They will... LET THEM,Boundaries,Confrontational,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0051,This Ain't What You Want,Confident,Confident,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0052,F.O.C.U.S. (Fuck off cuz you're stupid),Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
VVS-0053,"Your face, your problem",Sassy,Sassy,,,,,"Create a centered front-print design only, isolated on a transparent background.",,,Idea,Clear,,
