ethnicity line,season,product type,title,subtitle,seo slug,primary keywords,short description,long description,target audience,cover concept,commercial priority
African American,Spring,Flagship,African American Spring Spring Into Healing — Adult Recovery Coloring Book,"Renewal, fresh starts, gentle growth through the broad emotional journey of healing, self-discovery, and joy; hopeful and newly awakened scenes for adults seeking meaningful creative reflection.",african-american-spring-spring-into-healing-adult-recovery-coloring-book,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","A complete seasonal healing collection built around recovery, identity, connection, joy, and the ordinary moments that make a life feel worth living.","African American American representation woven into a spring collection about the broad emotional journey of healing, self-discovery, and joy. Scenes use new leaves, rain droplets, flowering branches, open windows, soft morning light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a spring wellness, recovery, and self-discovery coloring collection.","Hopeful and newly awakened spring cover; one emotionally expressive adult at the center, surrounded by a visual progression from reflection toward light and growth. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, new leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",High
African American,Spring,Renewal,African American Spring Bloom Again — Adult Recovery Coloring Book,"Renewal, fresh starts, gentle growth through release of old patterns, new beginnings, growth, and forward movement; hopeful and newly awakened scenes for adults seeking meaningful creative reflection.",african-american-spring-bloom-again-adult-recovery-coloring-book,"renewal coloring pages, growth coloring book, new beginnings art, recovery reflection","A focused collection about releasing what no longer fits, recognizing growth, and making room for a healthier next chapter.","African American American representation woven into a spring collection about release of old patterns, new beginnings, growth, and forward movement. Scenes use new leaves, rain droplets, flowering branches, open windows, soft morning light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a spring wellness, recovery, and self-discovery coloring collection.","Hopeful and newly awakened spring cover; a symbolic transition scene with a clear visual path from an enclosed or quiet starting point toward open space and new growth. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, new leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",Medium
African American,Spring,Mindfulness,African American Spring Breathe Into Spring — Adult Recovery Coloring Book,"Renewal, fresh starts, gentle growth through presence, breathing, grounding, stillness, and noticing small moments; hopeful and newly awakened scenes for adults seeking meaningful creative reflection.",african-american-spring-breathe-into-spring-adult-recovery-coloring-book,"mindfulness coloring book, grounding art pages, calm coloring, reflective wellness","A slower-paced collection of grounding scenes that invite attention to breath, body, surroundings, and small peaceful moments.","African American American representation woven into a spring collection about presence, breathing, grounding, stillness, and noticing small moments. Scenes use new leaves, rain droplets, flowering branches, open windows, soft morning light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a spring wellness, recovery, and self-discovery coloring collection.","Hopeful and newly awakened spring cover; a single grounded moment with uncluttered composition, calm posture, and one sensory focal point such as breath, tea, leaves, or sunlight. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, new leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",High
African American,Spring,Self-Care,African American Spring Gentle Spring Care — Adult Recovery Coloring Book,"Renewal, fresh starts, gentle growth through rest, boundaries, nurturing routines, self-respect, and replenishment; hopeful and newly awakened scenes for adults seeking meaningful creative reflection.",african-american-spring-gentle-spring-care-adult-recovery-coloring-book,"self-care coloring book, rest and boundaries, wellness coloring pages, self kindness art","A nurturing collection centered on rest, boundaries, replenishment, self-respect, and practical acts of care.","African American American representation woven into a spring collection about rest, boundaries, nurturing routines, self-respect, and replenishment. Scenes use new leaves, rain droplets, flowering branches, open windows, soft morning light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a spring wellness, recovery, and self-discovery coloring collection.","Hopeful and newly awakened spring cover; a restorative personal ritual with a clear focal figure, comforting objects, and visual cues for boundaries, rest, or nurturing. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, new leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",Medium
African American,Summer,Flagship,African American Summer A Summer Worth Living — Adult Recovery Coloring Book,"Joy, freedom, connection, confident movement through the broad emotional journey of healing, self-discovery, and joy; warm, alive, and expansive scenes for adults seeking meaningful creative reflection.",african-american-summer-a-summer-worth-living-adult-recovery-coloring-book,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","A complete seasonal healing collection built around recovery, identity, connection, joy, and the ordinary moments that make a life feel worth living.","African American American representation woven into a summer collection about the broad emotional journey of healing, self-discovery, and joy. Scenes use sunlight, garden growth, porch spaces, water, breezes, outdoor gathering, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a summer wellness, recovery, and self-discovery coloring collection.","Warm, alive, and expansive summer cover; one emotionally expressive adult at the center, surrounded by a visual progression from reflection toward light and growth. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, sunlight, and a strong open area for the title. No crisis imagery, no stereotypes.",High
African American,Summer,Renewal,African American Summer Rise Into the Light — Adult Recovery Coloring Book,"Joy, freedom, connection, confident movement through release of old patterns, new beginnings, growth, and forward movement; warm, alive, and expansive scenes for adults seeking meaningful creative reflection.",african-american-summer-rise-into-the-light-adult-recovery-coloring-book,"renewal coloring pages, growth coloring book, new beginnings art, recovery reflection","A focused collection about releasing what no longer fits, recognizing growth, and making room for a healthier next chapter.","African American American representation woven into a summer collection about release of old patterns, new beginnings, growth, and forward movement. Scenes use sunlight, garden growth, porch spaces, water, breezes, outdoor gathering, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a summer wellness, recovery, and self-discovery coloring collection.","Warm, alive, and expansive summer cover; a symbolic transition scene with a clear visual path from an enclosed or quiet starting point toward open space and new growth. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, sunlight, and a strong open area for the title. No crisis imagery, no stereotypes.",Medium
African American,Summer,Mindfulness,African American Summer Sunlit Stillness — Adult Recovery Coloring Book,"Joy, freedom, connection, confident movement through presence, breathing, grounding, stillness, and noticing small moments; warm, alive, and expansive scenes for adults seeking meaningful creative reflection.",african-american-summer-sunlit-stillness-adult-recovery-coloring-book,"mindfulness coloring book, grounding art pages, calm coloring, reflective wellness","A slower-paced collection of grounding scenes that invite attention to breath, body, surroundings, and small peaceful moments.","African American American representation woven into a summer collection about presence, breathing, grounding, stillness, and noticing small moments. Scenes use sunlight, garden growth, porch spaces, water, breezes, outdoor gathering, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a summer wellness, recovery, and self-discovery coloring collection.","Warm, alive, and expansive summer cover; a single grounded moment with uncluttered composition, calm posture, and one sensory focal point such as breath, tea, leaves, or sunlight. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, sunlight, and a strong open area for the title. No crisis imagery, no stereotypes.",High
African American,Summer,Self-Care,African American Summer Summer Care for Me — Adult Recovery Coloring Book,"Joy, freedom, connection, confident movement through rest, boundaries, nurturing routines, self-respect, and replenishment; warm, alive, and expansive scenes for adults seeking meaningful creative reflection.",african-american-summer-summer-care-for-me-adult-recovery-coloring-book,"self-care coloring book, rest and boundaries, wellness coloring pages, self kindness art","A nurturing collection centered on rest, boundaries, replenishment, self-respect, and practical acts of care.","African American American representation woven into a summer collection about rest, boundaries, nurturing routines, self-respect, and replenishment. Scenes use sunlight, garden growth, porch spaces, water, breezes, outdoor gathering, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a summer wellness, recovery, and self-discovery coloring collection.","Warm, alive, and expansive summer cover; a restorative personal ritual with a clear focal figure, comforting objects, and visual cues for boundaries, rest, or nurturing. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, sunlight, and a strong open area for the title. No crisis imagery, no stereotypes.",Medium
African American,Fall,Flagship,African American Fall The Beauty of Letting Go — Adult Recovery Coloring Book,"Release, gratitude, grounding, reflection through the broad emotional journey of healing, self-discovery, and joy; grounded, reflective, and cozy scenes for adults seeking meaningful creative reflection.",african-american-fall-the-beauty-of-letting-go-adult-recovery-coloring-book,"healing coloring book, recovery coloring pages, adult wellness art, seasonal self care","A complete seasonal healing collection built around recovery, identity, connection, joy, and the ordinary moments that make a life feel worth living.","African American American representation woven into a fall collection about the broad emotional journey of healing, self-discovery, and joy. Scenes use turning leaves, mugs, textured blankets, harvest shapes, golden window light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a fall wellness, recovery, and self-discovery coloring collection.","Grounded, reflective, and cozy fall cover; one emotionally expressive adult at the center, surrounded by a visual progression from reflection toward light and growth. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, turning leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",High
African American,Fall,Renewal,African American Fall Turning the Page — Adult Recovery Coloring Book,"Release, gratitude, grounding, reflection through release of old patterns, new beginnings, growth, and forward movement; grounded, reflective, and cozy scenes for adults seeking meaningful creative reflection.",african-american-fall-turning-the-page-adult-recovery-coloring-book,"renewal coloring pages, growth coloring book, new beginnings art, recovery reflection","A focused collection about releasing what no longer fits, recognizing growth, and making room for a healthier next chapter.","African American American representation woven into a fall collection about release of old patterns, new beginnings, growth, and forward movement. Scenes use turning leaves, mugs, textured blankets, harvest shapes, golden window light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a fall wellness, recovery, and self-discovery coloring collection.","Grounded, reflective, and cozy fall cover; a symbolic transition scene with a clear visual path from an enclosed or quiet starting point toward open space and new growth. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, turning leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",Medium
African American,Fall,Mindfulness,African American Fall Grounded in the Moment — Adult Recovery Coloring Book,"Release, gratitude, grounding, reflection through presence, breathing, grounding, stillness, and noticing small moments; grounded, reflective, and cozy scenes for adults seeking meaningful creative reflection.",african-american-fall-grounded-in-the-moment-adult-recovery-coloring-book,"mindfulness coloring book, grounding art pages, calm coloring, reflective wellness","A slower-paced collection of grounding scenes that invite attention to breath, body, surroundings, and small peaceful moments.","African American American representation woven into a fall collection about presence, breathing, grounding, stillness, and noticing small moments. Scenes use turning leaves, mugs, textured blankets, harvest shapes, golden window light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a fall wellness, recovery, and self-discovery coloring collection.","Grounded, reflective, and cozy fall cover; a single grounded moment with uncluttered composition, calm posture, and one sensory focal point such as breath, tea, leaves, or sunlight. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, turning leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",High
African American,Fall,Self-Care,African American Fall A Softer Fall — Adult Recovery Coloring Book,"Release, gratitude, grounding, reflection through rest, boundaries, nurturing routines, self-respect, and replenishment; grounded, reflective, and cozy scenes for adults seeking meaningful creative reflection.",african-american-fall-a-softer-fall-adult-recovery-coloring-book,"self-care coloring book, rest and boundaries, wellness coloring pages, self kindness art","A nurturing collection centered on rest, boundaries, replenishment, self-respect, and practical acts of care.","African American American representation woven into a fall collection about rest, boundaries, nurturing routines, self-respect, and replenishment. Scenes use turning leaves, mugs, textured blankets, harvest shapes, golden window light, everyday settings, emotionally readable body language, and generous coloring space. The collection should feel hopeful, grounded, contemporary, and culturally lived-in rather than generic.","Adults seeking african american representation in a fall wellness, recovery, and self-discovery coloring collection.","Grounded, reflective, and cozy fall cover; a restorative personal ritual with a clear focal figure, comforting objects, and visual cues for boundaries, rest, or nurturing. Feature African American adults with varied deep, medium, and brown skin tones; natural curls, locs, braids, twists, afros, or neatly styled protective looks; authentic everyday clothing; incorporate botanical shapes, family photographs, turning leaves, and a strong open area for the title. No crisis imagery, no stereotypes.",Medium
