ethnicity line,season,page number,template id,template name,seasonal detail,book slot,notes
African American,Spring,1.0,TPL-01,Solo portrait calm scene,"flowers, rain, new growth",African American Spring 01,"Page-specific direction: A woman sits at a rain-streaked window with a journal open across her knees; flowering plants frame the sill and her shoulders are relaxed as she writes one honest sentence about what she wants next. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,2.0,TPL-06,Walking reflection scene,"fresh air, walking path, sunrise",African American Spring 02,"Page-specific direction: A man walks slowly through a neighborhood park just after sunrise, hands loose at his sides, looking toward a path bordered by fresh grass and small spring flowers; the scene communicates choosing forward movement without hurry. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,3.0,TPL-08,Window + journal reflection,"open curtains, plants, journal",African American Spring 03,"Page-specific direction: A young adult with a textured natural hairstyle sits cross-legged on a floor cushion beside an open window, eyes gently closed during a breathing exercise; a small plant, folded blanket, and journal create a peaceful grounding corner. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,4.0,TPL-02,Support circle scene,support group in bright room,African American Spring 04,"Page-specific direction: A woman wrapped in a light blanket cradles a warm mug while reading a small stack of affirmation cards; rain-softened daylight enters behind her and her expression is relieved rather than sad. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,5.0,TPL-03,Quote page framed border,affirmation quote with blossoms,African American Spring 05,"Page-specific direction: Four adults sit in a loose recovery circle in a bright community room, one person speaking while the others listen with open posture; notebooks and water cups sit on simple chairs and a few spring branches decorate the room. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,6.0,TPL-07,Porch or patio conversation,porch conversation with tea and light,African American Spring 06,"Page-specific direction: An adult daughter and her mother kneel together in a garden, planting young flowers into fresh soil; their hands are visibly engaged in the work and their shared smile makes the scene about rebuilding connection. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,7.0,TPL-04,Healing room interior,bedroom sanctuary with plants,African American Spring 07,"Page-specific direction: Two close friends sit on a porch with tea and journals between them, leaning toward each other in an honest conversation; potted flowers, a simple railing, and light spring breeze create a safe everyday setting. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,8.0,TPL-05,Symbol cluster page,"butterflies, buds, doves",African American Spring 08,"Page-specific direction: A peer mentor and newcomer stand outside a community meeting space after a session, talking at eye level with relaxed shoulders; a tote bag, notebook, and budding tree suggest the beginning of a new chapter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,9.0,TPL-03,Quote page framed border,short quote with spring border,African American Spring 09,"Page-specific direction: Centered affirmation area surrounded by an airy border of open blossoms, tiny leaves, rain droplets, and two butterflies; keep the center mostly blank and calm so the quote remains the visual anchor. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,10.0,TPL-01,Solo portrait calm scene,reflection by a rainy window,African American Spring 10,"Page-specific direction: A large open butterfly emerging from a simple flower garden forms the frame around a short affirmation; use varied blossom shapes and generous white space instead of dense decoration. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,11.0,TPL-02,Support circle scene,small group encouragement,African American Spring 11,"Page-specific direction: Soft rain lines fall behind a clean central text area while small blossoms and new leaves rise from the lower corners; the composition should feel peaceful and forward-looking, not gloomy. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,12.0,TPL-04,Healing room interior,reading nook and calm light,African American Spring 12,"Page-specific direction: Balanced spring motif collection: unfurling leaves, open flowers, hummingbirds, butterflies, a small heart, rain droplets, and a sunrise; group related motifs with clear gaps for comfortable coloring. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,13.0,TPL-05,Symbol cluster page,flower cluster and recovery symbols,African American Spring 13,"Page-specific direction: An open journal, gardening gloves, seed packets, small ceramic planter, rain boots, and a simple floral border arranged as a balanced flat-lay composition with no overlapping clutter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,14.0,TPL-03,Quote page framed border,quote with renewal framing,African American Spring 14,"Page-specific direction: A peaceful bedroom reading nook with a woven throw, open journal, potted plant, slippers, and a rain-view window; furniture silhouettes stay simple while small comfort details make the room feel lived in. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Spring,15.0,TPL-08,Window + journal reflection,quiet window and fresh air,African American Spring 15,"Page-specific direction: A welcoming courtyard sanctuary with two chairs, flowering pots, a small café-style table, patterned textile, and an open gate toward fresh greenery; the space should communicate permission to breathe and begin again. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Summer,1.0,TPL-01,Solo portrait calm scene,"sunlight, porch, garden",African American Summer 01,"Page-specific direction: A woman sits beneath a leafy shade tree with a sketchbook resting on her lap, one hand holding a pencil while sunlight breaks through the leaves; her posture is open and quietly joyful. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
African American,Summer,2.0,TPL-06,Walking reflection scene,"morning walk, trees, light",African American Summer 02,"Page-specific direction: A man walks along a calm riverside boardwalk in rolled sleeves and comfortable sneakers, pausing beside the railing to watch the water; distant trees and broad sky leave generous open coloring space. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
