ethnicity line,season,bundle type,includes,recommended use,pricing tier
African American,Spring,Single Book,One spring title for african american,Entry purchase,Low
African American,Spring,Season Bundle,All 4 product types for spring in african american,Season promotion,Mid
African American,Spring,Line Bundle,All 4 seasons for african american,Line collector bundle,High
African American,Spring,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
African American,Summer,Single Book,One summer title for african american,Entry purchase,Low
African American,Summer,Season Bundle,All 4 product types for summer in african american,Season promotion,Mid
African American,Summer,Line Bundle,All 4 seasons for african american,Line collector bundle,High
African American,Summer,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
African American,Fall,Single Book,One fall title for african american,Entry purchase,Low
African American,Fall,Season Bundle,All 4 product types for fall in african american,Season promotion,Mid
African American,Fall,Line Bundle,All 4 seasons for african american,Line collector bundle,High
African American,Fall,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
African American,Winter,Single Book,One winter title for african american,Entry purchase,Low
African American,Winter,Season Bundle,All 4 product types for winter in african american,Season promotion,Mid
African American,Winter,Line Bundle,All 4 seasons for african american,Line collector bundle,High
African American,Winter,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Hispanic,Spring,Single Book,One spring title for hispanic,Entry purchase,Low
Hispanic,Spring,Season Bundle,All 4 product types for spring in hispanic,Season promotion,Mid
Hispanic,Spring,Line Bundle,All 4 seasons for hispanic,Line collector bundle,High
Hispanic,Spring,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Hispanic,Summer,Single Book,One summer title for hispanic,Entry purchase,Low
Hispanic,Summer,Season Bundle,All 4 product types for summer in hispanic,Season promotion,Mid
Hispanic,Summer,Line Bundle,All 4 seasons for hispanic,Line collector bundle,High
Hispanic,Summer,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Hispanic,Fall,Single Book,One fall title for hispanic,Entry purchase,Low
Hispanic,Fall,Season Bundle,All 4 product types for fall in hispanic,Season promotion,Mid
Hispanic,Fall,Line Bundle,All 4 seasons for hispanic,Line collector bundle,High
Hispanic,Fall,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Hispanic,Winter,Single Book,One winter title for hispanic,Entry purchase,Low
Hispanic,Winter,Season Bundle,All 4 product types for winter in hispanic,Season promotion,Mid
Hispanic,Winter,Line Bundle,All 4 seasons for hispanic,Line collector bundle,High
Hispanic,Winter,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Multiracial,Spring,Single Book,One spring title for multiracial,Entry purchase,Low
Multiracial,Spring,Season Bundle,All 4 product types for spring in multiracial,Season promotion,Mid
Multiracial,Spring,Line Bundle,All 4 seasons for multiracial,Line collector bundle,High
Multiracial,Spring,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Multiracial,Summer,Single Book,One summer title for multiracial,Entry purchase,Low
Multiracial,Summer,Season Bundle,All 4 product types for summer in multiracial,Season promotion,Mid
Multiracial,Summer,Line Bundle,All 4 seasons for multiracial,Line collector bundle,High
Multiracial,Summer,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Multiracial,Fall,Single Book,One fall title for multiracial,Entry purchase,Low
Multiracial,Fall,Season Bundle,All 4 product types for fall in multiracial,Season promotion,Mid
Multiracial,Fall,Line Bundle,All 4 seasons for multiracial,Line collector bundle,High
Multiracial,Fall,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
Multiracial,Winter,Single Book,One winter title for multiracial,Entry purchase,Low
Multiracial,Winter,Season Bundle,All 4 product types for winter in multiracial,Season promotion,Mid
Multiracial,Winter,Line Bundle,All 4 seasons for multiracial,Line collector bundle,High
Multiracial,Winter,Master Bundle,All 12 books across all seasons and themes,Highest value offer,Premium
