ethnicity line,season,product type,title,subtitle,seo slug,primary keywords,short description,long description,target audience,cover concept,commercial priority
African American,Spring,Flagship,African American Spring Flagship Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",african-american-spring-flagship-coloring-book,healing coloring pages recovery wellness,"Recovery coloring book with printable healing art pages, seasonal self-care illustrations, and culturally inclusive imagery.","African American spring flagship edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Spring,Renewal,African American Spring Renewal Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",african-american-spring-renewal-coloring-book,seasonal healing art journaling calm,"Seasonal recovery coloring pages with reflective scenes, soft line art, and peaceful emotional tone.","African American spring renewal edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
African American,Spring,Mindfulness,African American Spring Mindfulness Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",african-american-spring-mindfulness-coloring-book,mindfulness coloring workbook therapeutic art,"Calming adult coloring pages designed for reflection, rest, and emotional recovery.","African American spring mindfulness edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Spring,Self-Care,African American Spring Self-Care Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",african-american-spring-self-care-coloring-book,self care art pages printable wellness,"A culturally inclusive coloring book centered on peace, growth, and renewal.","African American spring self-care edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
African American,Summer,Flagship,African American Summer Flagship Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",african-american-summer-flagship-coloring-book,healing coloring pages recovery wellness,"Recovery coloring book with printable healing art pages, seasonal self-care illustrations, and culturally inclusive imagery.","African American summer flagship edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Summer,Renewal,African American Summer Renewal Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",african-american-summer-renewal-coloring-book,seasonal healing art journaling calm,"Seasonal recovery coloring pages with reflective scenes, soft line art, and peaceful emotional tone.","African American summer renewal edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
African American,Summer,Mindfulness,African American Summer Mindfulness Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",african-american-summer-mindfulness-coloring-book,mindfulness coloring workbook therapeutic art,"Calming adult coloring pages designed for reflection, rest, and emotional recovery.","African American summer mindfulness edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Summer,Self-Care,African American Summer Self-Care Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",african-american-summer-self-care-coloring-book,self care art pages printable wellness,"A culturally inclusive coloring book centered on peace, growth, and renewal.","African American summer self-care edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
African American,Fall,Flagship,African American Fall Flagship Recovery Coloring Book,"Gratitude, release, cozy reflection, grounding for adults seeking healing and creative reflection.",african-american-fall-flagship-coloring-book,healing coloring pages recovery wellness,"Recovery coloring book with printable healing art pages, seasonal self-care illustrations, and culturally inclusive imagery.","African American fall flagship edition featuring gratitude, release, cozy reflection, grounding. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a fall wellness and recovery product.,"Fall palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Fall,Renewal,African American Fall Renewal Recovery Coloring Book,"Gratitude, release, cozy reflection, grounding for adults seeking healing and creative reflection.",african-american-fall-renewal-coloring-book,seasonal healing art journaling calm,"Seasonal recovery coloring pages with reflective scenes, soft line art, and peaceful emotional tone.","African American fall renewal edition featuring gratitude, release, cozy reflection, grounding. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a fall wellness and recovery product.,"Fall palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
African American,Fall,Mindfulness,African American Fall Mindfulness Recovery Coloring Book,"Gratitude, release, cozy reflection, grounding for adults seeking healing and creative reflection.",african-american-fall-mindfulness-coloring-book,mindfulness coloring workbook therapeutic art,"Calming adult coloring pages designed for reflection, rest, and emotional recovery.","African American fall mindfulness edition featuring gratitude, release, cozy reflection, grounding. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a fall wellness and recovery product.,"Fall palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Fall,Self-Care,African American Fall Self-Care Recovery Coloring Book,"Gratitude, release, cozy reflection, grounding for adults seeking healing and creative reflection.",african-american-fall-self-care-coloring-book,self care art pages printable wellness,"A culturally inclusive coloring book centered on peace, growth, and renewal.","African American fall self-care edition featuring gratitude, release, cozy reflection, grounding. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a fall wellness and recovery product.,"Fall palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
African American,Winter,Flagship,African American Winter Flagship Recovery Coloring Book,"Comfort, rest, quiet hope, inner calm for adults seeking healing and creative reflection.",african-american-winter-flagship-coloring-book,healing coloring pages recovery wellness,"Recovery coloring book with printable healing art pages, seasonal self-care illustrations, and culturally inclusive imagery.","African American winter flagship edition featuring comfort, rest, quiet hope, inner calm. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a winter wellness and recovery product.,"Winter palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Winter,Renewal,African American Winter Renewal Recovery Coloring Book,"Comfort, rest, quiet hope, inner calm for adults seeking healing and creative reflection.",african-american-winter-renewal-coloring-book,seasonal healing art journaling calm,"Seasonal recovery coloring pages with reflective scenes, soft line art, and peaceful emotional tone.","African American winter renewal edition featuring comfort, rest, quiet hope, inner calm. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a winter wellness and recovery product.,"Winter palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
African American,Winter,Mindfulness,African American Winter Mindfulness Recovery Coloring Book,"Comfort, rest, quiet hope, inner calm for adults seeking healing and creative reflection.",african-american-winter-mindfulness-coloring-book,mindfulness coloring workbook therapeutic art,"Calming adult coloring pages designed for reflection, rest, and emotional recovery.","African American winter mindfulness edition featuring comfort, rest, quiet hope, inner calm. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a winter wellness and recovery product.,"Winter palette, calm home or nature scene, african american figures, healing symbols, clean typography.",High
African American,Winter,Self-Care,African American Winter Self-Care Recovery Coloring Book,"Comfort, rest, quiet hope, inner calm for adults seeking healing and creative reflection.",african-american-winter-self-care-coloring-book,self care art pages printable wellness,"A culturally inclusive coloring book centered on peace, growth, and renewal.","African American winter self-care edition featuring comfort, rest, quiet hope, inner calm. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for african american representation in a winter wellness and recovery product.,"Winter palette, calm home or nature scene, african american figures, healing symbols, clean typography.",Medium
Hispanic,Spring,Flagship,Hispanic Spring Flagship Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",hispanic-spring-flagship-coloring-book,healing coloring pages recovery wellness,"Recovery coloring book with printable healing art pages, seasonal self-care illustrations, and culturally inclusive imagery.","Hispanic spring flagship edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",High
Hispanic,Spring,Renewal,Hispanic Spring Renewal Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",hispanic-spring-renewal-coloring-book,seasonal healing art journaling calm,"Seasonal recovery coloring pages with reflective scenes, soft line art, and peaceful emotional tone.","Hispanic spring renewal edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",Medium
Hispanic,Spring,Mindfulness,Hispanic Spring Mindfulness Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",hispanic-spring-mindfulness-coloring-book,mindfulness coloring workbook therapeutic art,"Calming adult coloring pages designed for reflection, rest, and emotional recovery.","Hispanic spring mindfulness edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",High
Hispanic,Spring,Self-Care,Hispanic Spring Self-Care Recovery Coloring Book,"Renewal, growth, flowers, light rain, new beginnings for adults seeking healing and creative reflection.",hispanic-spring-self-care-coloring-book,self care art pages printable wellness,"A culturally inclusive coloring book centered on peace, growth, and renewal.","Hispanic spring self-care edition featuring renewal, growth, flowers, light rain, new beginnings. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a spring wellness and recovery product.,"Spring palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",Medium
Hispanic,Summer,Flagship,Hispanic Summer Flagship Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",hispanic-summer-flagship-coloring-book,healing coloring pages recovery wellness,"Recovery coloring book with printable healing art pages, seasonal self-care illustrations, and culturally inclusive imagery.","Hispanic summer flagship edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",High
Hispanic,Summer,Renewal,Hispanic Summer Renewal Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",hispanic-summer-renewal-coloring-book,seasonal healing art journaling calm,"Seasonal recovery coloring pages with reflective scenes, soft line art, and peaceful emotional tone.","Hispanic summer renewal edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",Medium
Hispanic,Summer,Mindfulness,Hispanic Summer Mindfulness Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",hispanic-summer-mindfulness-coloring-book,mindfulness coloring workbook therapeutic art,"Calming adult coloring pages designed for reflection, rest, and emotional recovery.","Hispanic summer mindfulness edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",High
Hispanic,Summer,Self-Care,Hispanic Summer Self-Care Recovery Coloring Book,"Joy, sunlight, community, outdoor calm, freedom for adults seeking healing and creative reflection.",hispanic-summer-self-care-coloring-book,self care art pages printable wellness,"A culturally inclusive coloring book centered on peace, growth, and renewal.","Hispanic summer self-care edition featuring joy, sunlight, community, outdoor calm, freedom. Designed as a printable digital coloring book for recovery, mindfulness, and self-care.",Adults looking for hispanic representation in a summer wellness and recovery product.,"Summer palette, calm home or nature scene, hispanic figures, healing symbols, clean typography.",Medium
