ethnicity line,season,page number,template id,template name,seasonal detail,book slot,notes
African American,Spring,1,TPL-01,Solo portrait calm scene,"flowers, rain, new growth",African American Spring 01,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,2,TPL-06,Walking reflection scene,"fresh air, walking path, sunrise",African American Spring 02,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,3,TPL-08,Window + journal reflection,"open curtains, plants, journal",African American Spring 03,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,4,TPL-02,Support circle scene,support group in bright room,African American Spring 04,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,5,TPL-03,Quote page framed border,affirmation quote with blossoms,African American Spring 05,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,6,TPL-07,Porch or patio conversation,porch conversation with tea and light,African American Spring 06,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,7,TPL-04,Healing room interior,bedroom sanctuary with plants,African American Spring 07,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,8,TPL-05,Symbol cluster page,"butterflies, buds, doves",African American Spring 08,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,9,TPL-03,Quote page framed border,short quote with spring border,African American Spring 09,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,10,TPL-01,Solo portrait calm scene,reflection by a rainy window,African American Spring 10,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,11,TPL-02,Support circle scene,small group encouragement,African American Spring 11,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,12,TPL-04,Healing room interior,reading nook and calm light,African American Spring 12,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,13,TPL-05,Symbol cluster page,flower cluster and recovery symbols,African American Spring 13,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,14,TPL-03,Quote page framed border,quote with renewal framing,African American Spring 14,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Spring,15,TPL-08,Window + journal reflection,quiet window and fresh air,African American Spring 15,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,1,TPL-01,Solo portrait calm scene,"sunlight, porch, garden",African American Summer 01,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,2,TPL-06,Walking reflection scene,"morning walk, trees, light",African American Summer 02,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,3,TPL-08,Window + journal reflection,"bright window, tea, notebook",African American Summer 03,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,4,TPL-02,Support circle scene,support circle outdoors or bright room,African American Summer 04,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,5,TPL-03,Quote page framed border,affirmation quote with sun accents,African American Summer 05,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,6,TPL-07,Porch or patio conversation,patio conversation with lemonade,African American Summer 06,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,7,TPL-04,Healing room interior,living room with fan and plants,African American Summer 07,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,8,TPL-05,Symbol cluster page,"sunflowers, waves, hearts",African American Summer 08,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,9,TPL-03,Quote page framed border,short quote with warm border,African American Summer 09,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,10,TPL-01,Solo portrait calm scene,reflection by water or window,African American Summer 10,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,11,TPL-02,Support circle scene,small group encouragement,African American Summer 11,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,12,TPL-04,Healing room interior,rest corner with daylight,African American Summer 12,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,13,TPL-05,Symbol cluster page,summer symbol cluster,African American Summer 13,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,14,TPL-03,Quote page framed border,quote with radiant framing,African American Summer 14,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Summer,15,TPL-08,Window + journal reflection,balcony or patio quiet time,African American Summer 15,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,1,TPL-01,Solo portrait calm scene,"leaves, sweater, calm",African American Fall 01,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,2,TPL-06,Walking reflection scene,"autumn walk, coffee, path",African American Fall 02,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,3,TPL-08,Window + journal reflection,window with plaid blanket,African American Fall 03,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,4,TPL-02,Support circle scene,warm indoor support group,African American Fall 04,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,5,TPL-03,Quote page framed border,affirmation quote with leaves,African American Fall 05,Rotate high-detail and low-detail pages to avoid fatigue.
African American,Fall,6,TPL-07,Porch or patio conversation,porch talk with mugs and blankets,African American Fall 06,Rotate high-detail and low-detail pages to avoid fatigue.
