Art Style,Lettering Style,Background Density,Tone,Category,Status,Priority,Review Flag,NOT A DROPDOWN - proposed slimmer Category
Editorial Scene,Bubble Caps,Open,Bold,Recovery,Idea,High,Clear,Recovery
Zentangle Pattern,Brush Script,Medium,Sassy,Boundaries,Brief Ready,Medium,Copy Review,Healing
Botanical Line,Block Outline,Dense,Confident,Healing,Prompt Ready,Low,Brand / Legal Review,Self-Worth
Geometric Abstract,Serif Editorial,,Supportive,Sassy,Generated,,Sensitive Content Review,Boundaries
Bold Minimal,Hand-Marker,,Motivational,Motivational,Revision Needed,,,Truth & Accountability
Vintage Badge,Mixed Caps + Script,,Confrontational,DV,Approved,,,Motivation
Streetwear Graffiti,Sans Display,,Truth,Self-Esteem,Mockup Ready,,,DV & Survivorship
Retro Groovy,Stencil,,Empowering,Accountability,Launched,,,Humor / Sass
Tattoo Linework,,,Humorous,Self-Respect,Archived,,,Family & Faith
Retro Comic,,,Reflective,Truth,,,,
Editorial Typographic,,,Informative,Self-Care,,,,
Celestial,,,Positive,Love,,,,
Photoreal Composite,,,Accountability,Confident,,,,
Hand-Drawn Doodle,,,Boundaries,Humor,,,,
,,,,Family,,,,
,,,,Self-Awareness,,,,
,,,,Faith,,,,
,,,,Other,,,,
,,,,Honesty,,,,
