affirmation_id,ethnicity_line,season,page_number,page_title,quote_text,language,quote_category,page_type,design_motif,review_status,translation_review_status,usage_status,notes
AA-SPR-01,African American,Spring,05,Healing One Day at a Time,"Healing one day at a time.",English,Recovery progress,Quote page,"Spring blossoms, butterflies, leaves",Approved,N/A,Assigned,"Use with TPL-03; place final editable text in Canva, Illustrator, or Affinity."
AA-SPR-02,African American,Spring,09,Peace Grows Here,"Peace grows here.",English,Peace and grounding,Quote page,"Garden leaves, small flowers, raindrops",Approved,N/A,Assigned,"Use with TPL-03; keep border light and spacious."
AA-SPR-03,African American,Spring,14,I Am Allowed to Begin Again,"I am allowed to begin again.",English,Renewal,Quote page,"Butterflies, sprouting leaves, flower buds",Approved,N/A,Assigned,"Use with TPL-03; center text with generous margins."
HSP-SPR-01,Hispanic,Spring,05,Un Día a la Vez,"Un día a la vez.",Spanish,Recovery progress,Quote page,"Spring blossoms, butterflies, leaves",Pending,Needs Native Review,Assigned,"English meaning: One day at a time. Confirm accent marks and preferred audience phrasing with a fluent reviewer."
HSP-SPR-02,Hispanic,Spring,09,Mi Paz Importa,"Mi paz importa.",Spanish,Peace and grounding,Quote page,"Garden leaves, small flowers, raindrops",Pending,Needs Native Review,Assigned,"English meaning: My peace matters. Confirm translation and cultural tone with a fluent reviewer."
HSP-SPR-03,Hispanic,Spring,14,Estoy Creciendo con Esperanza,"Estoy creciendo con esperanza.",Spanish,Renewal,Quote page,"Butterflies, sprouting leaves, flower buds",Pending,Needs Native Review,Assigned,"English meaning: I am growing with hope. Confirm translation and cultural tone with a fluent reviewer."
MUL-SPR-01,Multiracial,Spring,05,New Beginnings Belong to Me,"New beginnings belong to me.",English,Renewal,Quote page,"Spring blossoms, butterflies, leaves",Approved,N/A,Assigned,"Use inclusive visual motifs with no person required."
MUL-SPR-02,Multiracial,Spring,09,Healing Has Many Faces,"Healing has many faces.",English,Representation and belonging,Quote page,"Garden leaves, small flowers, raindrops",Approved,N/A,Assigned,"Use a visually inclusive motif system; text remains editable."
MUL-SPR-03,Multiracial,Spring,14,I Am Safe to Grow,"I am safe to grow.",English,Safety and renewal,Quote page,"Butterflies, sprouting leaves, flower buds",Approved,N/A,Assigned,"Use soft, spacious composition."
AA-SUM-01,African American,Summer,,Future quote 1,"Joy is part of healing.",English,Joy and recovery,Quote page,"Sunflowers, sunlight, gentle waves",Draft,N/A,Planned,"Summer quote candidate."
AA-SUM-02,African American,Summer,,Future quote 2,"I choose freedom today.",English,Recovery choice,Quote page,"Sun rays, open path, flowers",Draft,N/A,Planned,"Summer quote candidate."
AA-SUM-03,African American,Summer,,Future quote 3,"My future is brighter than my past.",English,Hope and future,Quote page,"Sunlight, horizon, open sky",Draft,N/A,Planned,"Summer quote candidate."
HSP-SUM-01,Hispanic,Summer,,Future quote 1,"La sanación también puede tener alegría.",Spanish,Joy and recovery,Quote page,"Sunflowers, sunlight, gentle waves",Pending,Needs Native Review,Planned,"English meaning: Healing can also have joy."
HSP-SUM-02,Hispanic,Summer,,Future quote 2,"Sigo adelante.",Spanish,Recovery progress,Quote page,"Sun rays, open path, flowers",Pending,Needs Native Review,Planned,"English meaning: I keep moving forward."
HSP-SUM-03,Hispanic,Summer,,Future quote 3,"Hoy elijo calma.",Spanish,Peace and grounding,Quote page,"Sunlight, horizon, open sky",Pending,Needs Native Review,Planned,"English meaning: Today I choose calm."
MUL-SUM-01,Multiracial,Summer,,Future quote 1,"Freedom can look like peace.",English,Peace and recovery,Quote page,"Sunflowers, sunlight, gentle waves",Draft,N/A,Planned,"Summer quote candidate."
MUL-SUM-02,Multiracial,Summer,,Future quote 2,"My joy counts too.",English,Joy and worth,Quote page,"Sun rays, open path, flowers",Draft,N/A,Planned,"Summer quote candidate."
MUL-SUM-03,Multiracial,Summer,,Future quote 3,"I am becoming.",English,Growth,Quote page,"Sunlight, horizon, open sky",Draft,N/A,Planned,"Summer quote candidate."
AA-FAL-01,African American,Fall,,Future quote 1,"Let go and grow.",English,Release and growth,Quote page,"Autumn leaves, tea mug, acorns",Draft,N/A,Planned,"Fall quote candidate."
AA-FAL-02,African American,Fall,,Future quote 2,"Rest is recovery too.",English,Rest and recovery,Quote page,"Blanket, candle, falling leaves",Draft,N/A,Planned,"Fall quote candidate."
AA-FAL-03,African American,Fall,,Future quote 3,"My story is still unfolding.",English,Hope and future,Quote page,"Leaves, journal, open path",Draft,N/A,Planned,"Fall quote candidate."
HSP-FAL-01,Hispanic,Fall,,Future quote 1,"Puedo descansar.",Spanish,Rest and recovery,Quote page,"Autumn leaves, tea mug, acorns",Pending,Needs Native Review,Planned,"English meaning: I can rest."
HSP-FAL-02,Hispanic,Fall,,Future quote 2,"Estoy aprendiendo a soltar.",Spanish,Release and growth,Quote page,"Blanket, candle, falling leaves",Pending,Needs Native Review,Planned,"English meaning: I am learning to let go."
HSP-FAL-03,Hispanic,Fall,,Future quote 3,"Todavía hay luz para mí.",Spanish,Hope and future,Quote page,"Leaves, journal, open path",Pending,Needs Native Review,Planned,"English meaning: There is still light for me."
MUL-FAL-01,Multiracial,Fall,,Future quote 1,"I release what no longer holds me.",English,Release and growth,Quote page,"Autumn leaves, tea mug, acorns",Draft,N/A,Planned,"Fall quote candidate."
MUL-FAL-02,Multiracial,Fall,,Future quote 2,"I can rest without guilt.",English,Rest and recovery,Quote page,"Blanket, candle, falling leaves",Draft,N/A,Planned,"Fall quote candidate."
MUL-FAL-03,Multiracial,Fall,,Future quote 3,"Change does not erase my worth.",English,Worth and change,Quote page,"Leaves, journal, open path",Draft,N/A,Planned,"Fall quote candidate."
AA-WIN-01,African American,Winter,,Future quote 1,"Hope lives here.",English,Hope,Quote page,"Snowflakes, candle, stars",Draft,N/A,Planned,"Winter quote candidate."
AA-WIN-02,African American,Winter,,Future quote 2,"I can be gentle with myself.",English,Self-compassion,Quote page,"Blanket, mug, winter window",Draft,N/A,Planned,"Winter quote candidate."
AA-WIN-03,African American,Winter,,Future quote 3,"Light returns.",English,Hope and resilience,Quote page,"Candle, stars, winter branches",Draft,N/A,Planned,"Winter quote candidate."
HSP-WIN-01,Hispanic,Winter,,Future quote 1,"La esperanza regresa.",Spanish,Hope,Quote page,"Snowflakes, candle, stars",Pending,Needs Native Review,Planned,"English meaning: Hope returns."
HSP-WIN-02,Hispanic,Winter,,Future quote 2,"Merezco ternura.",Spanish,Self-compassion,Quote page,"Blanket, mug, winter window",Pending,Needs Native Review,Planned,"English meaning: I deserve tenderness."
HSP-WIN-03,Hispanic,Winter,,Future quote 3,"Poco a poco.",Spanish,Recovery progress,Quote page,"Candle, stars, winter branches",Pending,Needs Native Review,Planned,"English meaning: Little by little."
MUL-WIN-01,Multiracial,Winter,,Future quote 1,"Warmth can begin within.",English,Inner comfort,Quote page,"Snowflakes, candle, stars",Draft,N/A,Planned,"Winter quote candidate."
MUL-WIN-02,Multiracial,Winter,,Future quote 2,"I am still here, and that matters.",English,Resilience,Quote page,"Blanket, mug, winter window",Draft,N/A,Planned,"Winter quote candidate."
MUL-WIN-03,Multiracial,Winter,,Future quote 3,"Gentleness is strength.",English,Self-compassion,Quote page,"Candle, stars, winter branches",Draft,N/A,Planned,"Winter quote candidate."
