ethnicity_line,season,page_number,page_title,page_type,template_id,seasonal_detail,prompt_status,draft_status,revision_status,cultural_review_status,quote_text,quote_approval,final_line_art_status,png_export_status,pdf_placement_status,overall_approval,owner,target_due_date,notes
African American,Spring,01,Spring Renewal Journal,Solo portrait,TPL-01,"flowers, rain, new growth",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,02,Morning Path of Hope,Walking reflection,TPL-06,"fresh air, walking path, sunrise",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,03,Quiet Growth by the Window,Window + journal reflection,TPL-08,"open curtains, plants, journal",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,04,Circle of Support,Community scene,TPL-02,"support group in bright room",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,05,Healing One Day at a Time,Quote page,TPL-03,"affirmation quote with blossoms",Not Started,Not Started,Not Started,Not Started,"Healing one day at a time.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,06,Porch Talk and Tea,Porch or patio conversation,TPL-07,"porch conversation with tea and light",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,07,Restful Room,Healing room interior,TPL-04,"bedroom sanctuary with plants",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,08,Spring Hope Symbols,Symbol cluster,TPL-05,"butterflies, buds, doves",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,09,Peace Grows Here,Quote page,TPL-03,"short quote with spring border",Not Started,Not Started,Not Started,Not Started,"Peace grows here.",Not Started,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,10,Rainy Window Reflection,Solo portrait,TPL-01,"reflection by a rainy window",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,11,Community Encouragement,Community scene,TPL-02,"small group encouragement",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
African American,Spring,12,Reading Nook Reset,Healing room interior,TPL-04,"reading nook and calm light",Not Started,Not Started,Not Started,Not Started,,N/A,Not Started,Not Started,Not Started,Not Started,Sunshine,,
